Agency,Component,Fiscal Year,Number of Backlogged Requests as of End of Fiscal Year,Number of Backlogged Appeals as of End of Fiscal Year
Commodity Futures Trading Commission,Agency Overall,2018,33,0.0
Merit Systems Protection Board,Agency Overall,2018,47,3.0
United States African Development Foundation,Agency Overall,2018,0,0.0
Securities and Exchange Commission,Agency Overall,2018,112,0.0
Department of Homeland Security,Agency Overall,2018,53971,237.0
National Indian Gaming Commission,Agency Overall,2018,9,0.0
Office of Government Ethics,Agency Overall,2018,60,0.0
"National Commission on Military, National, and Public Service",Agency Overall,2018,1,0.0
National Mediation Board,Agency Overall,2018,0,0.0
U.S. Agency for Global Media,Agency Overall,2018,4,0.0
Office of Navajo and Hopi Indian Relocation,Agency Overall,2018,0,0.0
Consumer Financial Protection Bureau,Agency Overall,2018,114,0.0
Department of Agriculture,Agency Overall,2018,2407,838.0
Court Services and Offender Supervision Agency,Agency Overall,2018,4,0.0
General Services Administration,Agency Overall,2018,246,14.0
Federal Mediation and Conciliation Service,Agency Overall,2018,14,0.0
Harry S. Truman Scholarship Foundation,Agency Overall,2018,0,0.0
Peace Corps,Agency Overall,2018,56,0.0
Department of Education,Agency Overall,2018,857,68.0
Office of National Drug Control Policy,Agency Overall,2018,21,0.0
Department of Housing and Urban Development,Agency Overall,2018,860,14.0
Armed Forces Retirement Home,Agency Overall,2018,0,0.0
National Capital Planning Commission,Agency Overall,2018,0,0.0
Federal Communications Commission,Agency Overall,2018,9,11.0
Legal Services Corporation,Agency Overall,2018,0,0.0
United States International Trade Commission,Agency Overall,2018,0,0.0
Inter-American Foundation,Agency Overall,2018,1,0.0
Federal Retirement Thrift Investment Board,Agency Overall,2018,6,0.0
Department of the Treasury,Agency Overall,2018,1453,115.0
Office of Personnel Management,Agency Overall,2018,215,45.0
Gulf Coast Ecosystem Restoration Council,Agency Overall,2018,0,0.0
James Madison Memorial Fellowship Foundation,Agency Overall,2018,0,0.0
Office of the Director of National Intelligence,Agency Overall,2018,539,38.0
United States Trade and Development Agency,Agency Overall,2018,28,0.0
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2018,50,0.0
Appraisal Subcommittee,Agency Overall,2018,0,0.0
U.S. Railroad Retirement Board,Agency Overall,2018,9,0.0
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2018,4,0.0
Federal Deposit Insurance Corporation,Agency Overall,2018,1,0.0
National Railroad Passenger Corporation,Agency Overall,2018,64,2.0
Department of Health and Human Services,Agency Overall,2018,6306,421.0
U.S. Department of State,Agency Overall,2018,10400,367.0
Occupational Safety and Health Review Commission,Agency Overall,2018,0,0.0
Office of the United States Trade Representative,Agency Overall,2018,11,0.0
Federal Reserve System,Agency Overall,2018,17,2.0
U.S. Agency for International Development,Agency Overall,2018,273,4.0
U.S. Election Assistance Commission,Agency Overall,2018,5,0.0
Small Business Administration,Agency Overall,2018,45,1.0
AmeriCorps,Agency Overall,2018,3,0.0
Presidio Trust,Agency Overall,2018,0,0.0
Office of Science and Technology Policy,Agency Overall,2018,56,0.0
Farm Credit Administration,Agency Overall,2018,0,0.0
Federal Housing Finance Agency,Agency Overall,2018,19,0.0
Department of Commerce,Agency Overall,2018,572,82.0
United States Institute of Peace,Agency Overall,2018,0,0.0
U.S. Nuclear Waste Technical Review Board,Agency Overall,2018,0,0.0
Nuclear Regulatory Commission,Agency Overall,2018,122,20.0
Overseas Private Investment Corporation,Agency Overall,2018,9,0.0
Selective Service System,Agency Overall,2018,0,0.0
Export-Import Bank of the U.S.,Agency Overall,2018,41,0.0
United States International Boundary and Water Commission,Agency Overall,2018,7,0.0
Department of Justice,Agency Overall,2018,17411,161.0
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2018,0,0.0
United States Access Board,Agency Overall,2018,0,0.0
U.S. Interagency Council on Homelessness,Agency Overall,2018,0,0.0
Office of Management and Budget,Agency Overall,2018,510,11.0
Federal Financial Institutions Examination Council,Agency Overall,2018,0,6.0
Privacy and Civil Liberties Oversight Board,Agency Overall,2018,10,0.0
Pension Benefit Guaranty Corporation,Agency Overall,2018,0,0.0
Central Intelligence Agency,Agency Overall,2018,2009,158.0
Defense Nuclear Facilities Safety Board,Agency Overall,2018,1,0.0
Advisory Council on Historic Preservation,Agency Overall,2018,3,0.0
National Council on Disability,Agency Overall,2018,0,0.0
Postal Regulatory Commission,Agency Overall,2018,0,0.0
Farm Credit System Insurance Corporation,Agency Overall,2018,0,0.0
Neighborhood Reinvestment Corporation,Agency Overall,2018,3,0.0
Federal Maritime Commission,Agency Overall,2018,2,0.0
National Labor Relations Board,Agency Overall,2018,87,0.0
National Aeronautics and Space Administration,Agency Overall,2018,27,
Department of Veterans Affairs,Agency Overall,2018,4659,89.0
Commission of Fine Arts,Agency Overall,2018,0,0.0
Department of Energy,Agency Overall,2018,498,8.0
Environmental Protection Agency,Agency Overall,2018,2761,132.0
National Endowment for the Humanities,Agency Overall,2018,0,0.0
U.S. Commission on Civil Rights,Agency Overall,2018,0,0.0
Department of Labor,Agency Overall,2018,816,320.0
Federal Labor Relations Authority,Agency Overall,2018,0,0.0
National Science Foundation,Agency Overall,2018,248,0.0
Federal Energy Regulatory Commission,Agency Overall,2018,31,1.0
Federal Trade Commission,Agency Overall,2018,6,0.0
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2018,1,0.0
Marine Mammal Commission,Agency Overall,2018,1,0.0
Office of Special Counsel,Agency Overall,2018,112,0.0
United States Postal Service,Agency Overall,2018,62,5.0
Equal Employment Opportunity Commission,Agency Overall,2018,2092,6.0
Chemical Safety and Hazard Investigation Board,Agency Overall,2018,28,0.0
Department of the Interior,Agency Overall,2018,3191,366.0
Federal Mine Safety and Health Review Commission,Agency Overall,2018,0,0.0
Denali Commission,Agency Overall,2018,0,0.0
National Archives and Records Administration,Agency Overall,2018,1810,154.0
United States Copyright Office,Agency Overall,2018,5,0.0
Social Security Administration,Agency Overall,2018,149,17.0
National Transportation Safety Board,Agency Overall,2018,658,1.0
Administrative Conference of the United States,Agency Overall,2018,0,0.0
National Credit Union Administration,Agency Overall,2018,12,0.0
Surface Transportation Board,Agency Overall,2018,0,0.0
Institute of Museum and Library Services,Agency Overall,2018,8,0.0
Tennessee Valley Authority,Agency Overall,2018,11,0.0
Council on Environmental Quality,Agency Overall,2018,51,1.0
Department of Transportation,Agency Overall,2018,2634,98.0
National Endowment for the Arts,Agency Overall,2018,0,0.0
Federal Open Market Committee,Agency Overall,2018,0,0.0
Consumer Product Safety Commission,Agency Overall,2018,265,1.0
Department of Defense,Agency Overall,2018,11391,919.0
Millennium Challenge Corporation,Agency Overall,2018,2,0.0
American Battle Monuments Commission,Agency Overall,2018,0,0.0
Social Security Advisory Board,Agency Overall,2018,0,0.0
Federal Election Commission,Agency Overall,2018,72,9.0
Federal Financial Institutions Examination Council,Agency Overall,2019,0,0.0
Surface Transportation Board,Agency Overall,2019,0,0.0
Commodity Futures Trading Commission,Agency Overall,2019,8,0.0
Social Security Advisory Board,Agency Overall,2019,0,0.0
Federal Retirement Thrift Investment Board,Agency Overall,2019,3,0.0
Office of Management and Budget,Agency Overall,2019,568,4.0
Environmental Protection Agency,Agency Overall,2019,2272,64.0
Federal Housing Finance Agency,Agency Overall,2019,22,0.0
Consumer Product Safety Commission,Agency Overall,2019,404,1.0
U.S. Interagency Council on Homelessness,Agency Overall,2019,0,0.0
Office of National Drug Control Policy,Agency Overall,2019,17,0.0
Farm Credit System Insurance Corporation,Agency Overall,2019,0,0.0
National Endowment for the Arts,Agency Overall,2019,0,0.0
National Mediation Board,Agency Overall,2019,0,0.0
U.S. Agency for International Development,Agency Overall,2019,238,2.0
U.S. Election Assistance Commission,Agency Overall,2019,12,1.0
Occupational Safety and Health Review Commission,Agency Overall,2019,1,0.0
United States International Trade Commission,Agency Overall,2019,1,0.0
Social Security Administration,Agency Overall,2019,88,11.0
Department of Labor,Agency Overall,2019,991,245.0
Federal Mine Safety and Health Review Commission,Agency Overall,2019,0,0.0
Department of Defense,Agency Overall,2019,13198,893.0
Department of Justice,Agency Overall,2019,25558,454.0
Office of the Director of National Intelligence,Agency Overall,2019,561,22.0
Court Services and Offender Supervision Agency,Agency Overall,2019,0,0.0
Department of the Treasury,Agency Overall,2019,1495,100.0
U.S. Commission on Civil Rights,Agency Overall,2019,0,0.0
United States Postal Service,Agency Overall,2019,34,1.0
Department of the Interior,Agency Overall,2019,4116,424.0
American Battle Monuments Commission,Agency Overall,2019,1,0.0
National Aeronautics and Space Administration,Agency Overall,2019,28,5.0
Office of Special Counsel,Agency Overall,2019,68,0.0
Federal Maritime Commission,Agency Overall,2019,1,0.0
Privacy and Civil Liberties Oversight Board,Agency Overall,2019,13,0.0
Department of Agriculture,Agency Overall,2019,2700,1022.0
Farm Credit Administration,Agency Overall,2019,0,0.0
U.S. Department of State,Agency Overall,2019,11106,223.0
Pension Benefit Guaranty Corporation,Agency Overall,2019,0,0.0
Council on Environmental Quality,Agency Overall,2019,39,1.0
Peace Corps,Agency Overall,2019,69,0.0
General Services Administration,Agency Overall,2019,334,12.0
Merit Systems Protection Board,Agency Overall,2019,46,2.0
Federal Communications Commission,Agency Overall,2019,16,3.0
Tennessee Valley Authority,Agency Overall,2019,7,0.0
Nuclear Regulatory Commission,Agency Overall,2019,66,3.0
Federal Energy Regulatory Commission,Agency Overall,2019,40,1.0
National Archives and Records Administration,Agency Overall,2019,3359,95.0
Gulf Coast Ecosystem Restoration Council,Agency Overall,2019,0,0.0
Department of Education,Agency Overall,2019,914,86.0
Department of Energy,Agency Overall,2019,493,11.0
"National Commission on Military, National, and Public Service",Agency Overall,2019,5,0.0
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2019,0,0.0
United States Access Board,Agency Overall,2019,8,0.0
United States Trade and Development Agency,Agency Overall,2019,28,0.0
Federal Open Market Committee,Agency Overall,2019,0,0.0
Department of Homeland Security,Agency Overall,2019,31454,304.0
Federal Mediation and Conciliation Service,Agency Overall,2019,0,0.0
Defense Nuclear Facilities Safety Board,Agency Overall,2019,2,0.0
Department of Commerce,Agency Overall,2019,721,85.0
Inter-American Foundation,Agency Overall,2019,2,0.0
James Madison Memorial Fellowship Foundation,Agency Overall,2019,0,0.0
Presidio Trust,Agency Overall,2019,0,0.0
National Endowment for the Humanities,Agency Overall,2019,0,0.0
Consumer Financial Protection Bureau,Agency Overall,2019,179,0.0
Advisory Council on Historic Preservation,Agency Overall,2019,7,0.0
Federal Reserve System,Agency Overall,2019,14,2.0
Securities and Exchange Commission,Agency Overall,2019,184,4.0
Appraisal Subcommittee,Agency Overall,2019,0,0.0
Office of the United States Trade Representative,Agency Overall,2019,2,0.0
United States International Boundary and Water Commission,Agency Overall,2019,17,0.0
Harry S. Truman Scholarship Foundation,Agency Overall,2019,0,0.0
Federal Trade Commission,Agency Overall,2019,3,0.0
National Science Foundation,Agency Overall,2019,301,0.0
Overseas Private Investment Corporation,Agency Overall,2019,7,0.0
U.S. Nuclear Waste Technical Review Board,Agency Overall,2019,0,0.0
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2019,72,0.0
United States African Development Foundation,Agency Overall,2019,0,0.0
Federal Labor Relations Authority,Agency Overall,2019,3,0.0
Equal Employment Opportunity Commission,Agency Overall,2019,205,1.0
Office of Personnel Management,Agency Overall,2019,229,8.0
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2019,0,0.0
Institute of Museum and Library Services,Agency Overall,2019,5,0.0
United States Institute of Peace,Agency Overall,2019,0,0.0
National Indian Gaming Commission,Agency Overall,2019,2,0.0
Federal Election Commission,Agency Overall,2019,51,1.0
Commission of Fine Arts,Agency Overall,2019,0,0.0
National Railroad Passenger Corporation,Agency Overall,2019,83,7.0
Office of Science and Technology Policy,Agency Overall,2019,86,2.0
Denali Commission,Agency Overall,2019,0,0.0
United States Copyright Office,Agency Overall,2019,8,1.0
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2019,12,0.0
National Transportation Safety Board,Agency Overall,2019,418,0.0
Selective Service System,Agency Overall,2019,0,0.0
Office of Government Ethics,Agency Overall,2019,28,0.0
Export-Import Bank of the U.S.,Agency Overall,2019,31,0.0
Armed Forces Retirement Home,Agency Overall,2019,0,0.0
Department of Housing and Urban Development,Agency Overall,2019,932,15.0
Administrative Conference of the United States,Agency Overall,2019,0,0.0
AmeriCorps,Agency Overall,2019,3,0.0
Federal Deposit Insurance Corporation,Agency Overall,2019,1,0.0
Central Intelligence Agency,Agency Overall,2019,2384,237.0
Small Business Administration,Agency Overall,2019,0,2.0
Chemical Safety and Hazard Investigation Board,Agency Overall,2019,32,0.0
National Labor Relations Board,Agency Overall,2019,35,0.0
National Credit Union Administration,Agency Overall,2019,1,0.0
Department of Health and Human Services,Agency Overall,2019,7764,514.0
Department of Veterans Affairs,Agency Overall,2019,2631,118.0
Department of Transportation,Agency Overall,2019,3578,100.0
National Council on Disability,Agency Overall,2019,0,0.0
U.S. Railroad Retirement Board,Agency Overall,2019,2,0.0
Office of Navajo and Hopi Indian Relocation,Agency Overall,2019,0,0.0
Millennium Challenge Corporation,Agency Overall,2019,2,0.0
Legal Services Corporation,Agency Overall,2019,0,0.0
U.S. Agency for Global Media,Agency Overall,2019,13,0.0
Neighborhood Reinvestment Corporation,Agency Overall,2019,3,0.0
Marine Mammal Commission,Agency Overall,2019,1,0.0
National Capital Planning Commission,Agency Overall,2019,0,0.0
