Agency,Component,Fiscal Year,<1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,401+ Days,Total
Commodity Futures Trading Commission,Agency Overall,2018,0,9,4,8,5,2,2,3,2,0,0,0,3,38
Merit Systems Protection Board,Agency Overall,2018,4,9,1,0,1,3,0,1,1,1,4,8,13,46
United States African Development Foundation,Agency Overall,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Securities and Exchange Commission,Agency Overall,2018,1,4,0,0,0,0,0,0,0,0,0,0,15,20
Department of Homeland Security,Agency Overall,2018,40965,17687,13152,3820,9178,81080,7272,2547,865,518,975,403,818,179280
National Indian Gaming Commission,Agency Overall,2018,1,4,2,1,0,0,0,1,1,0,2,2,2,16
Office of Government Ethics,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"National Commission on Military, National, and Public Service",Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Mediation Board,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Agency for Global Media,Agency Overall,2018,7,0,2,0,3,0,0,1,0,0,1,0,1,15
Office of Navajo and Hopi Indian Relocation,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Consumer Financial Protection Bureau,Agency Overall,2018,2,13,2,2,3,3,1,0,1,0,2,1,0,30
Department of Agriculture,Agency Overall,2018,788,241,130,66,40,46,36,33,22,33,101,38,96,1670
Court Services and Offender Supervision Agency,Agency Overall,2018,7,6,0,0,0,0,0,0,0,1,0,0,0,14
General Services Administration,Agency Overall,2018,17,228,110,44,53,20,13,19,17,8,40,18,0,587
Federal Mediation and Conciliation Service,Agency Overall,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Harry S. Truman Scholarship Foundation,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peace Corps,Agency Overall,2018,0,0,0,0,1,0,0,0,0,0,3,1,0,5
Department of Education,Agency Overall,2018,4,261,201,128,75,73,52,50,43,32,115,61,36,1131
Office of National Drug Control Policy,Agency Overall,2018,0,1,1,1,0,0,0,1,0,0,1,2,1,8
Department of Housing and Urban Development,Agency Overall,2018,189,129,53,28,187,19,10,14,11,9,48,21,29,747
Armed Forces Retirement Home,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Capital Planning Commission,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Communications Commission,Agency Overall,2018,3,36,37,21,8,11,4,5,5,7,2,1,1,141
Legal Services Corporation,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States International Trade Commission,Agency Overall,2018,1,11,0,0,0,0,0,0,0,0,0,0,0,12
Inter-American Foundation,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Retirement Thrift Investment Board,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of the Treasury,Agency Overall,2018,3209,1478,755,334,179,111,69,58,46,26,95,39,152,6551
Office of Personnel Management,Agency Overall,2018,1316,1064,80,37,24,15,16,14,6,3,14,6,15,2610
Gulf Coast Ecosystem Restoration Council,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,3,0,3
James Madison Memorial Fellowship Foundation,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of the Director of National Intelligence,Agency Overall,2018,94,20,19,14,14,6,8,8,8,0,6,6,11,214
United States Trade and Development Agency,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2018,2,1,4,2,2,1,0,1,0,0,1,0,0,14
Appraisal Subcommittee,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Railroad Retirement Board,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2018,0,0,0,0,0,1,1,0,0,2,0,0,0,4
Federal Deposit Insurance Corporation,Agency Overall,2018,20,30,7,2,4,0,0,0,0,0,0,0,0,63
National Railroad Passenger Corporation,Agency Overall,2018,81,18,15,8,7,4,4,5,4,4,11,3,29,193
Department of Health and Human Services,Agency Overall,2018,10961,1834,915,693,658,504,487,403,389,339,1284,386,905,19758
U.S. Department of State,Agency Overall,2018,127,502,701,671,371,224,222,273,343,321,461,455,2292,6963
Occupational Safety and Health Review Commission,Agency Overall,2018,0,4,0,0,0,0,0,0,0,0,0,0,0,4
Office of the United States Trade Representative,Agency Overall,2018,1,2,3,7,3,7,4,3,2,0,3,0,0,35
Federal Reserve System,Agency Overall,2018,76,59,31,18,8,10,7,10,3,3,20,5,0,250
U.S. Agency for International Development,Agency Overall,2018,57,42,25,14,14,10,6,11,5,6,41,19,79,329
U.S. Election Assistance Commission,Agency Overall,2018,9,5,8,4,4,2,3,2,0,1,6,1,0,45
Small Business Administration,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AmeriCorps,Agency Overall,2018,5,2,0,0,0,0,0,0,0,0,0,0,0,7
Presidio Trust,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of Science and Technology Policy,Agency Overall,2018,0,0,0,0,0,0,0,0,2,0,0,1,1,4
Farm Credit Administration,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Housing Finance Agency,Agency Overall,2018,9,8,10,3,3,5,7,2,1,0,1,0,0,49
Department of Commerce,Agency Overall,2018,198,100,54,35,25,26,19,19,11,21,43,17,21,589
United States Institute of Peace,Agency Overall,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,1
U.S. Nuclear Waste Technical Review Board,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear Regulatory Commission,Agency Overall,2018,22,17,8,4,6,2,5,5,1,3,7,2,3,85
Overseas Private Investment Corporation,Agency Overall,2018,5,2,2,0,0,0,0,0,0,0,0,1,2,12
Selective Service System,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Export-Import Bank of the U.S.,Agency Overall,2018,1,3,1,2,5,2,1,2,3,1,10,3,4,38
United States International Boundary and Water Commission,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Justice,Agency Overall,2018,3165,2133,1251,764,604,538,390,325,277,247,1253,871,1651,13469
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Access Board,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Interagency Council on Homelessness,Agency Overall,2018,0,3,4,1,0,0,0,0,0,0,0,0,0,8
Office of Management and Budget,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,22,22
