Agency,Component,Fiscal Year,Processing Costs,Litigation-Related Costs,Total Costs,Total Amount of Fees Collected,Percentage of Total Costs
Commodity Futures Trading Commission,Agency Overall,2018,164347.0,0.0,164347.0,0.0,0.0
Merit Systems Protection Board,Agency Overall,2018,250081.77,0.0,250081.77,0.0,0.0
United States African Development Foundation,Agency Overall,2018,9000.0,0.0,9000.0,0.0,0.0
Securities and Exchange Commission,Agency Overall,2018,9096609.0,186604.0,9283213.0,33179.65,0.36
Department of Homeland Security,Agency Overall,2018,69205797.03,7479639.76,76685436.79,18518.58,0.03
National Indian Gaming Commission,Agency Overall,2018,80000.0,0.0,80000.0,295.5,0.37
Office of Government Ethics,Agency Overall,2018,308392.7,53710.73,362103.43,0.0,0.0
"National Commission on Military, National, and Public Service",Agency Overall,2018,42152.8,0.0,42152.8,0.0,0.0
National Mediation Board,Agency Overall,2018,75260.0,0.0,75260.0,37.6,0.05
U.S. Agency for Global Media,Agency Overall,2018,107718.0,0.0,107718.0,55.2,0.05
Office of Navajo and Hopi Indian Relocation,Agency Overall,2018,53247.0,0.0,53247.0,0.0,0.0
Consumer Financial Protection Bureau,Agency Overall,2018,622600.0,11200.0,633800.0,37038.35,5.95
Department of Agriculture,Agency Overall,2018,13031129.07,1162826.43,14193955.5,110589.66,0.85
Court Services and Offender Supervision Agency,Agency Overall,2018,452255.8,0.0,452255.8,181.25,0.04
General Services Administration,Agency Overall,2018,728356.0,0.0,728356.0,17231.0,2.37
Federal Mediation and Conciliation Service,Agency Overall,2018,75000.0,0.0,75000.0,0.0,0.0
Harry S. Truman Scholarship Foundation,Agency Overall,2018,100.0,0.0,100.0,0.0,0.0
Peace Corps,Agency Overall,2018,190208.0,0.0,190208.0,0.0,0.0
Department of Education,Agency Overall,2018,7475688.83,273345.0,7749033.83,3227.21,0.04
Office of National Drug Control Policy,Agency Overall,2018,71800.0,0.0,71800.0,0.0,0.0
Department of Housing and Urban Development,Agency Overall,2018,1050581.31,1095926.9,2146508.21,34134.11,3.25
Armed Forces Retirement Home,Agency Overall,2018,31030.0,0.0,31030.0,0.0,0.0
National Capital Planning Commission,Agency Overall,2018,8209.76,0.0,8209.76,0.0,0.0
Federal Communications Commission,Agency Overall,2018,3434703.76,133934.04,3568637.8,6021.08,0.18
Legal Services Corporation,Agency Overall,2018,46048.0,0.0,46048.0,0.0,0.0
United States International Trade Commission,Agency Overall,2018,22729.26,84.1,22813.36,245.5,1.08
Inter-American Foundation,Agency Overall,2018,10000.0,0.0,10000.0,0.0,0.0
Federal Retirement Thrift Investment Board,Agency Overall,2018,89703.0,0.0,89703.0,0.0,0.0
Department of the Treasury,Agency Overall,2018,17152331.89,1195381.53,18347713.42,203391.46,1.19
Office of Personnel Management,Agency Overall,2018,2093916.24,23831.0,2117747.24,13451.9,0.64
Gulf Coast Ecosystem Restoration Council,Agency Overall,2018,10605.0,0.0,10605.0,0.0,0.0
James Madison Memorial Fellowship Foundation,Agency Overall,2018,100.0,0.0,100.0,0.0,0.0
Office of the Director of National Intelligence,Agency Overall,2018,1738000.0,235485.0,1973485.0,0.0,0.0
United States Trade and Development Agency,Agency Overall,2018,26000.0,0.0,26000.0,0.0,0.0
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2018,3108.0,0.0,3108.0,0.0,0.0
Appraisal Subcommittee,Agency Overall,2018,456.0,0.0,456.0,0.0,0.0
U.S. Railroad Retirement Board,Agency Overall,2018,57461.0,0.0,57461.0,27.0,0.05
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2018,25200.0,0.0,25200.0,362.0,1.44
Federal Deposit Insurance Corporation,Agency Overall,2018,2758232.0,56532.0,2814764.0,7571.24,0.27
National Railroad Passenger Corporation,Agency Overall,2018,150000.0,0.0,150000.0,266.0,0.18
Department of Health and Human Services,Agency Overall,2018,49291983.16,1440416.19,50732399.35,785192.24,1.59
U.S. Department of State,Agency Overall,2018,34453755.75,1440357.04,35894112.79,9092.98,0.03
Occupational Safety and Health Review Commission,Agency Overall,2018,207800.18,0.0,207800.18,0.0,0.0
Office of the United States Trade Representative,Agency Overall,2018,254000.0,4000.0,258000.0,1558.0,0.61
Federal Reserve System,Agency Overall,2018,1358488.0,22228.0,1380716.0,603.8,0.04
U.S. Agency for International Development,Agency Overall,2018,4933339.78,357184.93,5290524.71,7200.0,0.15
U.S. Election Assistance Commission,Agency Overall,2018,20000.0,0.0,20000.0,0.0,0.0
Small Business Administration,Agency Overall,2018,393120.0,0.0,393120.0,42100.0,10.71
AmeriCorps,Agency Overall,2018,22500.0,0.0,22500.0,336.0,1.49
Presidio Trust,Agency Overall,2018,100.0,0.0,100.0,0.0,0.0
Office of Science and Technology Policy,Agency Overall,2018,151102.25,0.0,151102.25,0.0,0.0
Farm Credit Administration,Agency Overall,2018,32000.0,0.0,32000.0,491.81,1.54
Federal Housing Finance Agency,Agency Overall,2018,420635.56,0.0,420635.56,0.0,0.0
Department of Commerce,Agency Overall,2018,13073431.3,174447.1,13247878.4,123716.26,0.95
United States Institute of Peace,Agency Overall,2018,300.0,0.0,300.0,0.0,0.0
U.S. Nuclear Waste Technical Review Board,Agency Overall,2018,100.0,0.0,100.0,0.0,0.0
Nuclear Regulatory Commission,Agency Overall,2018,1649093.0,0.0,1649093.0,8059.0,0.49
Overseas Private Investment Corporation,Agency Overall,2018,127781.31,0.0,127781.31,565.62,0.44
Selective Service System,Agency Overall,2018,3373.62,0.0,3373.62,0.0,0.0
Export-Import Bank of the U.S.,Agency Overall,2018,523383.05,0.0,523383.05,991.68,0.19
United States International Boundary and Water Commission,Agency Overall,2018,180000.0,0.0,180000.0,0.0,0.0
Department of Justice,Agency Overall,2018,69380355.12,14589830.91,83970186.03,28442.99,0.04
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2018,100.0,0.0,100.0,0.0,0.0
United States Access Board,Agency Overall,2018,15125.88,0.0,15125.88,0.0,0.0
U.S. Interagency Council on Homelessness,Agency Overall,2018,8150.0,0.0,8150.0,0.0,0.0
Office of Management and Budget,Agency Overall,2018,360500.0,7025.0,367525.0,0.0,0.0
Federal Financial Institutions Examination Council,Agency Overall,2018,10168.0,0.0,10168.0,0.0,0.0
Privacy and Civil Liberties Oversight Board,Agency Overall,2018,9800.0,0.0,9800.0,0.0,0.0
Pension Benefit Guaranty Corporation,Agency Overall,2018,266510.0,0.0,266510.0,1186.0,0.45
Central Intelligence Agency,Agency Overall,2018,7945804.0,1096706.0,9042510.0,870.0,0.01
Defense Nuclear Facilities Safety Board,Agency Overall,2018,43000.0,0.0,43000.0,0.0,0.0
Advisory Council on Historic Preservation,Agency Overall,2018,18881.76,0.0,18881.76,0.0,0.0
National Council on Disability,Agency Overall,2018,1000.0,0.0,1000.0,0.0,0.0
Postal Regulatory Commission,Agency Overall,2018,15000.0,0.0,15000.0,1895.72,12.64
Farm Credit System Insurance Corporation,Agency Overall,2018,300.0,300.0,600.0,0.0,0.0
Neighborhood Reinvestment Corporation,Agency Overall,2018,84600.0,0.0,84600.0,0.0,0.0
Federal Maritime Commission,Agency Overall,2018,479103.76,0.0,479103.76,0.0,0.0
National Labor Relations Board,Agency Overall,2018,2077083.0,7003.0,2084086.0,6725.0,0.32
National Aeronautics and Space Administration,Agency Overall,2018,1327304.9,12630.77,1339935.67,13007.84,0.0098
Department of Veterans Affairs,Agency Overall,2018,14966099.46,235560.1,15201659.56,88409.72,0.59
Commission of Fine Arts,Agency Overall,2018,12000.0,0.0,12000.0,0.0,0.0
Department of Energy,Agency Overall,2018,2046929.5,179000.0,2225929.5,16317.83,0.8
Environmental Protection Agency,Agency Overall,2018,33663739.64,1848579.21,35512318.85,156275.18,0.46
National Endowment for the Humanities,Agency Overall,2018,100200.0,100200.0,200400.0,0.0,0.0
U.S. Commission on Civil Rights,Agency Overall,2018,42000.0,0.0,42000.0,0.0,0.0
Department of Labor,Agency Overall,2018,16583836.0,511796.0,17095632.0,188532.8,1.14
Federal Labor Relations Authority,Agency Overall,2018,22078.0,0.0,22078.0,0.0,0.0
National Science Foundation,Agency Overall,2018,379491.0,0.0,379491.0,0.0,0.0
Federal Energy Regulatory Commission,Agency Overall,2018,576921.0,0.0,576921.0,0.0,0.0
Federal Trade Commission,Agency Overall,2018,860926.71,33848.45,894775.16,11487.64,1.33
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2018,68036.0,0.0,68036.0,0.0,0.0
Marine Mammal Commission,Agency Overall,2018,1000.0,0.0,1000.0,0.0,0.0
Office of Special Counsel,Agency Overall,2018,916354.0,36972.0,953326.0,0.0,0.0
United States Postal Service,Agency Overall,2018,1046757.8,41138.28,1087896.08,26042.3,2.49
Equal Employment Opportunity Commission,Agency Overall,2018,3072468.44,0.0,3072468.44,19870.15,0.65
Chemical Safety and Hazard Investigation Board,Agency Overall,2018,95000.0,0.0,95000.0,0.0,0.0
Department of the Interior,Agency Overall,2018,14181521.3,1032366.09,15213887.39,57667.11,0.41
Federal Mine Safety and Health Review Commission,Agency Overall,2018,120000.0,0.0,120000.0,1099.2,0.92
Denali Commission,Agency Overall,2018,100.0,0.0,100.0,0.0,0.0
National Archives and Records Administration,Agency Overall,2018,5005879.0,58631.0,5064510.0,0.0,0.0
United States Copyright Office,Agency Overall,2018,16478.6,0.0,16478.6,0.0,0.0
Social Security Administration,Agency Overall,2018,3367845.83,57877.32,3425723.15,291314.5,8.65
National Transportation Safety Board,Agency Overall,2018,624543.12,0.0,624543.12,197.0,0.03
Administrative Conference of the United States,Agency Overall,2018,10928.0,0.0,10928.0,0.0,0.0
National Credit Union Administration,Agency Overall,2018,405020.0,0.0,405020.0,564.25,0.14
Surface Transportation Board,Agency Overall,2018,41948.43,0.0,41948.43,497.38,1.19
Institute of Museum and Library Services,Agency Overall,2018,34187.0,0.0,34187.0,0.0,0.0
Tennessee Valley Authority,Agency Overall,2018,236508.0,0.0,236508.0,2160.9,0.91
Council on Environmental Quality,Agency Overall,2018,268519.5,0.0,268519.5,0.0,0.0
Department of Transportation,Agency Overall,2018,12053535.07,278505.42,12332040.49,414990.53,3.44
National Endowment for the Arts,Agency Overall,2018,86000.0,0.0,86000.0,0.0,0.0
Federal Open Market Committee,Agency Overall,2018,60760.0,0.0,60760.0,0.0,0.0
Consumer Product Safety Commission,Agency Overall,2018,678663.46,3000.0,681663.46,861.3,0.13
Department of Defense,Agency Overall,2018,77661994.91,5283602.5,82945597.41,187165.75,0.24
Millennium Challenge Corporation,Agency Overall,2018,16000.0,0.0,16000.0,0.0,0.0
American Battle Monuments Commission,Agency Overall,2018,13026.39,0.0,13026.39,0.0,0.0
Social Security Advisory Board,Agency Overall,2018,100.0,0.0,100.0,0.0,0.0
Federal Election Commission,Agency Overall,2018,223124.79,30688.73,253813.52,0.0,0.0
Federal Financial Institutions Examination Council,Agency Overall,2019,10168.0,0.0,10168.0,0.0,0.0
Surface Transportation Board,Agency Overall,2019,55569.22,0.0,55569.22,50.0,0.09
Commodity Futures Trading Commission,Agency Overall,2019,201488.07,0.0,201488.07,0.0,0.0
Social Security Advisory Board,Agency Overall,2019,100.0,0.0,100.0,0.0,0.0
Federal Retirement Thrift Investment Board,Agency Overall,2019,91740.0,0.0,91740.0,0.0,0.0
Office of Management and Budget,Agency Overall,2019,908860.0,10640.0,919500.0,0.0,0.0
Environmental Protection Agency,Agency Overall,2019,32626930.0,2132910.0,34759840.0,133040.55,0.41
Federal Housing Finance Agency,Agency Overall,2019,459617.9,0.0,459617.9,0.0,0.0
Consumer Product Safety Commission,Agency Overall,2019,434997.68,0.0,434997.68,0.0,0.0
U.S. Interagency Council on Homelessness,Agency Overall,2019,3200.0,0.0,3200.0,0.0,0.0
Office of National Drug Control Policy,Agency Overall,2019,186000.0,0.0,186000.0,0.0,0.0
Farm Credit System Insurance Corporation,Agency Overall,2019,600.0,0.0,600.0,0.0,0.0
National Endowment for the Arts,Agency Overall,2019,87500.0,0.0,87500.0,0.0,0.0
National Mediation Board,Agency Overall,2019,72000.0,0.0,72000.0,0.0,0.0
U.S. Agency for International Development,Agency Overall,2019,4101032.12,299453.13,4400485.25,0.0,0.0
U.S. Election Assistance Commission,Agency Overall,2019,20000.0,0.0,20000.0,0.0,0.0
Occupational Safety and Health Review Commission,Agency Overall,2019,235997.55,0.0,235997.55,201.5,0.09
United States International Trade Commission,Agency Overall,2019,44200.0,0.0,44200.0,0.0,0.0
Social Security Administration,Agency Overall,2019,3281076.76,19737.5,3300814.26,287309.32,8.76
Department of Labor,Agency Overall,2019,18223960.0,511683.0,18735643.0,197356.66,1.08
Federal Mine Safety and Health Review Commission,Agency Overall,2019,125000.0,0.0,125000.0,271.35,0.22
Department of Defense,Agency Overall,2019,82185957.3,3212556.55,85398513.85,239765.07,0.29
Department of Justice,Agency Overall,2019,76597735.11,16665796.23,93263531.34,33200.67,0.04
Office of the Director of National Intelligence,Agency Overall,2019,1798000.0,137849.0,1935849.0,0.0,0.0
Court Services and Offender Supervision Agency,Agency Overall,2019,188585.0,0.0,188585.0,148.25,0.08
Department of the Treasury,Agency Overall,2019,17907075.91,1394963.1,19302039.01,199308.41,1.11
