Agency,Backlog,Received,Backlog_Ratio
U.S. Election Assistance Commission,243,98,2.479591836734694
National Science Foundation,784,424,1.849056603773585
Office of the Director of National Intelligence,747,504,1.4821428571428572
United States International Boundary and Water Commission,110,79,1.3924050632911393
U.S. International Development Finance Corporation,102,81,1.2592592592592593
Central Intelligence Agency,4879,4087,1.193785172498165
U.S. Nuclear Waste Technical Review Board,41,42,0.9761904761904762
U.S. Department of State,21615,22306,0.9690217878597687
United States Institute of Peace,67,71,0.9436619718309859
Office of Science and Technology Policy,196,212,0.9245283018867925
Chemical Safety and Hazard Investigation Board,127,138,0.9202898550724637
Office of Management and Budget,909,994,0.9144869215291751
U.S. Commission for the Preservation of America’s Heritage Abroad,84,96,0.875
Advisory Council on Historic Preservation,120,153,0.7843137254901961
United States African Development Foundation,31,40,0.775
James Madison Memorial Fellowship Foundation,44,57,0.7719298245614035
Council of the Inspectors General on Integrity and Efficiency,146,207,0.7053140096618358
U.S. Interagency Council on Homelessness,26,37,0.7027027027027027
Privacy and Civil Liberties Oversight Board,89,130,0.6846153846153846
U.S. Agency for International Development,590,984,0.5995934959349594
Office of the National Cyber Director,223,378,0.58994708994709
Merit Systems Protection Board,127,219,0.5799086757990868
Harry S. Truman Scholarship Foundation,31,54,0.5740740740740741
Federal Energy Regulatory Commission,72,130,0.5538461538461539
Department of Education,2485,4560,0.5449561403508771
Department of the Interior,4412,8305,0.5312462372065021
Office of National Drug Control Policy,47,92,0.5108695652173914
Defense Nuclear Facilities Safety Board,54,110,0.4909090909090909
U.S. Commission on Civil Rights,64,140,0.45714285714285713
Federal Housing Finance Agency,98,217,0.45161290322580644
Department of Transportation,8048,18345,0.438702643772145
National Council on Disability,25,64,0.390625
Department of Energy,1629,4283,0.380340882558954
United States International Trade Commission,102,271,0.3763837638376384
Department of Commerce,1410,4048,0.3483201581027668
Department of Defense,21436,61858,0.3465356138252126
Federal Open Market Committee,31,90,0.34444444444444444
National Transportation Safety Board,226,703,0.32147937411095306
Consumer Product Safety Commission,251,783,0.3205619412515964
AmeriCorps,30,98,0.30612244897959184
Committee for Purchase from People Who Are Blind or Severely Disabled,18,65,0.27692307692307694
Federal Maritime Commission,28,103,0.27184466019417475
Federal Retirement Thrift Investment Board,33,123,0.2682926829268293
Neighborhood Reinvestment Corporation,12,47,0.2553191489361702
Legal Services Corporation,17,68,0.25
Office of Special Counsel,60,243,0.24691358024691357
Federal Deposit Insurance Corporation,252,1028,0.245136186770428
Office of the Special Inspector General for Afghanistan Reconstruction,12,49,0.24489795918367346
Department of Health and Human Services,12685,51800,0.2448841698841699
Office of the United States Trade Representative,32,136,0.23529411764705882
National Archives and Records Administration,5107,22590,0.22607348384240813
Export-Import Bank of the U.S.,37,165,0.22424242424242424
Office of Personnel Management,212,968,0.2190082644628099
Department of Housing and Urban Development,721,3324,0.21690734055354993
General Services Administration,354,1661,0.21312462372065022
Department of the Treasury,2791,13303,0.20980230023303015
Environmental Protection Agency,1564,7551,0.20712488412130844
Council on Environmental Quality,83,420,0.1976190476190476
United States Trade and Development Agency,15,85,0.17647058823529413
Inter-American Foundation,9,53,0.16981132075471697
Office of Government Ethics,27,165,0.16363636363636364
Department of Justice,21567,132527,0.16273664989021105
Department of Homeland Security,141420,911535,0.15514489295528971
Consumer Financial Protection Bureau,142,964,0.14730290456431536
Nuclear Regulatory Commission,97,664,0.1460843373493976
Department of Labor,2094,15833,0.1322554159034927
Tennessee Valley Authority,34,262,0.1297709923664122
National Endowment for the Humanities,8,65,0.12307692307692308
Peace Corps,35,320,0.109375
