Agency,Backlog
Department of Homeland Security,141420
U.S. Department of State,21615
Department of Justice,21567
Department of Defense,21436
Department of Health and Human Services,12685
Department of Transportation,8048
National Archives and Records Administration,5107
Central Intelligence Agency,4879
Department of the Interior,4412
Department of the Treasury,2791
Department of Education,2485
Department of Agriculture,2270
Department of Labor,2094
Department of Energy,1629
Environmental Protection Agency,1564
Department of Veterans Affairs,1539
Department of Commerce,1410
Office of Management and Budget,909
National Science Foundation,784
Office of the Director of National Intelligence,747
Department of Housing and Urban Development,721
Social Security Administration,608
U.S. Agency for International Development,590
Securities and Exchange Commission,475
Small Business Administration,413
General Services Administration,354
Federal Deposit Insurance Corporation,252
Consumer Product Safety Commission,251
U.S. Election Assistance Commission,243
National Transportation Safety Board,226
Office of the National Cyber Director,223
Office of Personnel Management,212
United States Postal Service,201
Office of Science and Technology Policy,196
Council of the Inspectors General on Integrity and Efficiency,146
Consumer Financial Protection Bureau,142
Chemical Safety and Hazard Investigation Board,127
Merit Systems Protection Board,127
Advisory Council on Historic Preservation,120
United States International Boundary and Water Commission,110
United States International Trade Commission,102
U.S. International Development Finance Corporation,102
Federal Housing Finance Agency,98
Nuclear Regulatory Commission,97
Privacy and Civil Liberties Oversight Board,89
U.S. Commission for the Preservation of America’s Heritage Abroad,84
Council on Environmental Quality,83
Federal Energy Regulatory Commission,72
United States Institute of Peace,67
U.S. Commission on Civil Rights,64
Office of Special Counsel,60
Defense Nuclear Facilities Safety Board,54
Equal Employment Opportunity Commission,49
Federal Communications Commission,49
Office of National Drug Control Policy,47
Federal Reserve System,47
James Madison Memorial Fellowship Foundation,44
U.S. Nuclear Waste Technical Review Board,41
National Aeronautics and Space Administration,39
Federal Trade Commission,38
Export-Import Bank of the U.S.,37
Peace Corps,35
Tennessee Valley Authority,34
Federal Retirement Thrift Investment Board,33
Office of the United States Trade Representative,32
United States African Development Foundation,31
Harry S. Truman Scholarship Foundation,31
Federal Open Market Committee,31
AmeriCorps,30
Federal Maritime Commission,28
Office of Government Ethics,27
National Labor Relations Board,26
U.S. Interagency Council on Homelessness,26
National Council on Disability,25
Committee for Purchase from People Who Are Blind or Severely Disabled,18
Legal Services Corporation,17
United States Trade and Development Agency,15
Occupational Safety and Health Review Commission,13
Neighborhood Reinvestment Corporation,12
Office of the Special Inspector General for Afghanistan Reconstruction,12
Commodity Futures Trading Commission,11
Inter-American Foundation,9
U.S. Railroad Retirement Board,8
Federal Mine Safety and Health Review Commission,8
National Endowment for the Humanities,8
Postal Regulatory Commission,7
United States Copyright Office,7
Federal Election Commission,6
Marine Mammal Commission,6
National Indian Gaming Commission,4
National Railroad Passenger Corporation,4
Federal Financial Institutions Examination Council,3
Farm Credit Administration,3
Federal Mediation and Conciliation Service,1
Farm Credit System Insurance Corporation,1
National Credit Union Administration,1
Millennium Challenge Corporation,1
U.S. Agency for Global Media,1
United States Access Board,0
Court Services and Offender Supervision Agency,0
Office of Pandemic Preparedness and Response Policy,0
Commission of Fine Arts,0
Morris K. Udall and Stewart L. Udall Foundation,0
Surface Transportation Board,0
Federal Labor Relations Authority,0
Office of Navajo and Hopi Indian Relocation,0
American Battle Monuments Commission,0
Pension Benefit Guaranty Corporation,0
Gulf Coast Ecosystem Restoration Council,0
Appraisal Subcommittee,0
Office of the Intellectual Property Enforcement Coordinator,0
Administrative Conference of the United States,0
Social Security Advisory Board,0
Institute of Museum and Library Services,0
Selective Service System,0
Presidio Trust,0
Denali Commission,0
National Mediation Board,0
National Capital Planning Commission,0
National Endowment for the Arts,0
Armed Forces Retirement Home,0
Federal Permitting Improvement Steering Council,0
