Agency,Number of Full Grants,Number of Partial Grants/Partial Denials,Number of Full Denials Based on Exemptions,No Records,Total,Denial_Rate,Full_Grant_Rate
AmeriCorps,18,17,4,14,75,0.05333333333333334,0.24
Department of Justice,64557,13561,4667,30504,157180,0.029692072782796793,0.41072019340883065
American Battle Monuments Commission,13,0,0,19,38,0.0,0.34210526315789475
Federal Energy Regulatory Commission,28,74,9,31,157,0.05732484076433121,0.17834394904458598
Office of Special Counsel,10,61,15,47,170,0.08823529411764706,0.058823529411764705
Commission of Fine Arts,19,0,0,70,91,0.0,0.2087912087912088
United States Copyright Office,4,2,0,26,72,0.0,0.05555555555555555
Office of Science and Technology Policy,3,141,0,23,178,0.0,0.016853932584269662
Federal Open Market Committee,8,4,2,21,64,0.03125,0.125
U.S. Commission for the Preservation of America’s Heritage Abroad,2,2,0,16,20,0.0,0.1
U.S. Commission on Civil Rights,36,2,0,16,84,0.0,0.42857142857142855
Council of the Inspectors General on Integrity and Efficiency,8,0,0,50,100,0.0,0.08
Office of the National Cyber Director,1,10,0,127,155,0.0,0.0064516129032258064
Department of Health and Human Services,15284,4096,8453,5257,49271,0.17156136469728644,0.31020275618517995
Morris K. Udall and Stewart L. Udall Foundation,8,7,1,36,56,0.017857142857142856,0.14285714285714285
Surface Transportation Board,18,6,0,69,99,0.0,0.18181818181818182
Department of Energy,422,328,35,424,3250,0.010769230769230769,0.12984615384615383
Consumer Financial Protection Bureau,67,102,50,49,834,0.05995203836930456,0.0803357314148681
Federal Labor Relations Authority,9,62,5,107,204,0.024509803921568627,0.04411764705882353
U.S. Election Assistance Commission,8,8,0,26,42,0.0,0.19047619047619047
Federal Communications Commission,106,211,14,129,984,0.014227642276422764,0.10772357723577236
Federal Deposit Insurance Corporation,69,76,47,71,873,0.053837342497136315,0.07903780068728522
Office of Navajo and Hopi Indian Relocation,38,0,0,36,74,0.0,0.5135135135135135
National Credit Union Administration,71,57,12,107,384,0.03125,0.18489583333333334
National Science Foundation,31,61,9,48,374,0.02406417112299465,0.08288770053475936
Millennium Challenge Corporation,28,2,5,19,58,0.08620689655172414,0.4827586206896552
Office of National Drug Control Policy,7,22,0,16,49,0.0,0.14285714285714285
U.S. Interagency Council on Homelessness,17,0,0,0,17,0.0,1.0
Office of Pandemic Preparedness and Response Policy,0,0,0,0,0,,
United States Trade and Development Agency,23,19,2,33,83,0.024096385542168676,0.27710843373493976
Selective Service System,71,1,1,0,73,0.0136986301369863,0.9726027397260274
Court Services and Offender Supervision Agency,32,184,7,264,596,0.01174496644295302,0.053691275167785234
Nuclear Regulatory Commission,67,55,6,242,461,0.013015184381778741,0.14533622559652928
Federal Reserve System,259,76,64,170,1072,0.05970149253731343,0.2416044776119403
National Labor Relations Board,341,1463,48,89,2588,0.01854714064914992,0.13176197836166925
U.S. Agency for International Development,38,91,16,68,688,0.023255813953488372,0.055232558139534885
Department of Transportation,4457,6847,223,2420,16080,0.0138681592039801,0.2771766169154229
Social Security Advisory Board,0,1,0,42,44,0.0,0.0
Institute of Museum and Library Services,5,14,0,1,176,0.0,0.028409090909090908
Federal Maritime Commission,15,7,8,39,75,0.10666666666666667,0.2
Harry S. Truman Scholarship Foundation,3,2,0,18,23,0.0,0.13043478260869565
Neighborhood Reinvestment Corporation,7,6,1,28,48,0.020833333333333332,0.14583333333333334
Department of Defense,13175,16765,2938,6543,57662,0.05095210016995595,0.22848669834553084
Federal Mediation and Conciliation Service,20,23,5,35,94,0.05319148936170213,0.2127659574468085
Advisory Council on Historic Preservation,33,0,0,0,33,0.0,1.0
Federal Financial Institutions Examination Council,5,1,0,41,48,0.0,0.10416666666666667
Securities and Exchange Commission,1530,734,804,6320,10985,0.07319071461083296,0.13928083750568956
Office of the Intellectual Property Enforcement Coordinator,5,1,0,37,43,0.0,0.11627906976744186
Equal Employment Opportunity Commission,419,12128,1547,964,18334,0.08437874986364133,0.022853714410385077
Administrative Conference of the United States,11,6,0,128,145,0.0,0.07586206896551724
Appraisal Subcommittee,5,6,2,24,44,0.045454545454545456,0.11363636363636363
Office of the Director of National Intelligence,13,174,71,94,390,0.18205128205128204,0.03333333333333333
Federal Trade Commission,414,608,217,166,1919,0.11307972902553413,0.21573736321000522
Department of Commerce,390,339,180,471,3410,0.05278592375366569,0.11436950146627566
Department of Housing and Urban Development,335,509,68,449,3102,0.02192134107027724,0.10799484203739523
Gulf Coast Ecosystem Restoration Council,11,0,0,0,11,0.0,1.0
Pension Benefit Guaranty Corporation,2078,327,40,209,2773,0.0144248106743599,0.7493689145329967
United States Access Board,9,6,2,24,41,0.04878048780487805,0.21951219512195122
Department of the Treasury,2683,2126,491,1085,12687,0.03870103255300702,0.21147631433751085
Department of Homeland Security,39712,365330,18055,294914,894939,0.020174559383376967,0.04437397409208896
Committee for Purchase from People Who Are Blind or Severely Disabled,4,4,1,19,47,0.02127659574468085,0.0851063829787234
United States International Trade Commission,3,31,13,111,173,0.07514450867052024,0.017341040462427744
