Agency,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,Total_Exemptions,B5_Share,B7_Share,B5_B7_Share
Department of Justice,423.0,362,3138,632,2702,14581,1510,39.0,13799,2681,8353,2412,4.0,1.0,50637.0,0.05336019116456346,0.5686355826766989,0.6219957738412624
Federal Energy Regulatory Commission,0.0,1,15,7,45,67,0,0.0,0,0,1,4,0.0,0.0,140.0,0.32142857142857145,0.03571428571428571,0.35714285714285715
Office of Special Counsel,0.0,0,0,0,45,63,5,1.0,68,20,1,0,0.0,0.0,203.0,0.22167487684729065,0.46798029556650245,0.6896551724137931
Office of Science and Technology Policy,0.0,3,0,9,120,141,0,0.0,0,0,0,0,0.0,0.0,273.0,0.43956043956043955,0.0,0.43956043956043955
Department of Health and Human Services,0.0,26,319,1409,691,10687,82,146.0,798,13,74,63,0.0,0.0,14308.0,0.04829466032988538,0.0821917808219178,0.1304864411518032
Department of Energy,2.0,0,27,142,55,293,5,0.0,33,0,12,18,0.0,4.0,591.0,0.09306260575296109,0.11505922165820642,0.20812182741116753
Consumer Financial Protection Bureau,0.0,1,4,47,47,95,20,0.0,7,24,64,0,39.0,0.0,348.0,0.13505747126436782,0.33045977011494254,0.46551724137931033
Federal Labor Relations Authority,0.0,17,2,3,22,59,12,0.0,2,0,2,1,0.0,0.0,120.0,0.18333333333333332,0.14166666666666666,0.325
Federal Communications Commission,0.0,1,2,20,36,150,2,0.0,13,3,3,1,0.0,0.0,231.0,0.15584415584415584,0.09523809523809523,0.2510822510822511
Federal Deposit Insurance Corporation,0.0,1,8,23,20,75,7,0.0,21,10,20,0,16.0,0.0,201.0,0.09950248756218906,0.2885572139303483,0.3880597014925373
National Credit Union Administration,0.0,15,0,32,19,52,1,0.0,4,0,1,0,34.0,0.0,158.0,0.12025316455696203,0.0379746835443038,0.15822784810126583
National Science Foundation,0.0,1,2,49,10,60,0,0.0,10,0,0,0,0.0,0.0,132.0,0.07575757575757576,0.07575757575757576,0.15151515151515152
Court Services and Offender Supervision Agency,0.0,2,2,3,8,189,0,0.0,162,1,167,1,0.0,0.0,535.0,0.014953271028037384,0.6186915887850467,0.6336448598130842
Nuclear Regulatory Commission,1.0,1,1,12,16,33,4,0.0,15,0,5,20,0.0,0.0,108.0,0.14814814814814814,0.4074074074074074,0.5555555555555556
Federal Reserve System,0.0,1,8,49,57,60,3,1.0,9,0,14,0,47.0,0.0,249.0,0.2289156626506024,0.10843373493975904,0.3373493975903614
National Labor Relations Board,0.0,0,1,29,116,1397,417,0.0,1392,68,0,1,0.0,0.0,3421.0,0.03390821397252265,0.548962291727565,0.5828705057000877
U.S. Agency for International Development,0.0,4,41,42,46,87,0,0.0,11,1,4,1,0.0,0.0,237.0,0.1940928270042194,0.07172995780590717,0.26582278481012656
Department of Transportation,2.0,63,643,401,621,6576,129,7.0,3109,420,34,20,0.0,0.0,12025.0,0.051642411642411644,0.30927234927234926,0.36091476091476093
Department of Defense,1431.0,162,3651,1768,3548,16223,953,227.0,7674,556,2289,122,1.0,14.0,38619.0,0.09187187653745565,0.30609285584815765,0.3979647323856133
Securities and Exchange Commission,0.0,3,35,144,343,664,594,5.0,409,3,55,7,43.0,0.0,2305.0,0.14880694143167028,0.4655097613882863,0.6143167028199567
Equal Employment Opportunity Commission,0.0,1,1430,62,11864,6248,3289,3.0,10774,40,272,0,0.0,0.0,33983.0,0.3491157343377571,0.423093899891122,0.7722096342288791
Office of the Director of National Intelligence,60.0,1,224,1,25,165,1,0.0,29,1,7,0,0.0,0.0,514.0,0.048638132295719845,0.07392996108949416,0.122568093385214
Federal Trade Commission,1.0,8,159,48,142,585,276,0.0,9,8,10,0,0.0,0.0,1246.0,0.11396468699839486,0.24317817014446227,0.35714285714285715
Department of Commerce,5.0,16,142,137,177,311,14,0.0,58,0,19,2,0.0,0.0,881.0,0.20090805902383654,0.10556186152099886,0.3064699205448354
Department of Housing and Urban Development,0.0,0,23,75,58,428,26,1.0,85,1,52,1,0.0,0.0,750.0,0.07733333333333334,0.22133333333333333,0.2986666666666667
Pension Benefit Guaranty Corporation,0.0,0,4,16,8,359,0,0.0,5,0,0,0,0.0,0.0,392.0,0.02040816326530612,0.012755102040816327,0.03316326530612245
Department of the Treasury,3.0,93,1573,138,469,1156,259,2.0,614,9,711,3,16.0,0.0,5046.0,0.09294490685691637,0.3166864843440349,0.40963139120095127
Department of Homeland Security,11.0,616,61440,456,58594,294575,397,7.0,437455,77,335399,133,1.0,0.0,1189161.0,0.0492733952761653,0.6504316909148551,0.6997050861910203
