Agency,Max_Days_Pending
National Archives and Records Administration,4571.0
U.S. Department of State,4289.0
Department of Defense,4144.0
Central Intelligence Agency,3948.0
Department of Commerce,3035.0
Department of Energy,2850.0
Federal Energy Regulatory Commission,2768.0
National Science Foundation,2706.0
Department of Justice,2650.0
Department of the Treasury,2636.0
Department of Health and Human Services,2601.0
Department of Transportation,2595.0
Office of the Director of National Intelligence,2575.0
Environmental Protection Agency,2312.0
Department of Homeland Security,2266.0
Department of Veterans Affairs,2249.0
Office of Science and Technology Policy,2181.0
Nuclear Regulatory Commission,2093.0
Chemical Safety and Hazard Investigation Board,2054.0
Federal Communications Commission,2041.0
Department of the Interior,1993.0
Department of Labor,1891.0
Department of Housing and Urban Development,1879.0
Privacy and Civil Liberties Oversight Board,1863.0
Securities and Exchange Commission,1801.0
General Services Administration,1796.0
Consumer Product Safety Commission,1728.0
Department of Education,1713.0
Office of Management and Budget,1708.0
Peace Corps,1646.0
Merit Systems Protection Board,1591.0
U.S. International Development Finance Corporation,1495.0
Department of Agriculture,1448.0
United States International Boundary and Water Commission,1444.0
Council on Environmental Quality,1428.0
U.S. Agency for International Development,1398.0
National Railroad Passenger Corporation,1281.0
Federal Housing Finance Agency,1278.0
Office of National Drug Control Policy,1260.0
United States International Trade Commission,1247.0
Council of the Inspectors General on Integrity and Efficiency,1185.0
Small Business Administration,1157.0
United States Postal Service,1026.0
U.S. Election Assistance Commission,1007.0
Social Security Administration,895.0
Office of Personnel Management,870.0
National Labor Relations Board,828.0
Export-Import Bank of the U.S.,820.0
Equal Employment Opportunity Commission,818.0
United States Copyright Office,741.0
National Aeronautics and Space Administration,740.0
Federal Maritime Commission,674.0
Federal Deposit Insurance Corporation,574.0
Consumer Financial Protection Bureau,523.0
National Transportation Safety Board,436.0
National Indian Gaming Commission,409.0
Federal Trade Commission,388.0
Tennessee Valley Authority,388.0
Commodity Futures Trading Commission,383.0
Neighborhood Reinvestment Corporation,358.0
U.S. Commission for the Preservation of America’s Heritage Abroad,328.0
Federal Financial Institutions Examination Council,324.0
Federal Election Commission,319.0
Federal Reserve System,318.0
Advisory Council on Historic Preservation,314.0
United States Institute of Peace,307.0
U.S. Nuclear Waste Technical Review Board,303.0
U.S. Agency for Global Media,302.0
AmeriCorps,299.0
Defense Nuclear Facilities Safety Board,294.0
Office of Special Counsel,280.0
Marine Mammal Commission,267.0
Postal Regulatory Commission,262.0
Office of Government Ethics,262.0
Office of the Special Inspector General for Afghanistan Reconstruction,261.0
Office of the National Cyber Director,260.0
U.S. Railroad Retirement Board,260.0
Occupational Safety and Health Review Commission,260.0
National Endowment for the Humanities,259.0
Social Security Advisory Board,257.0
Federal Open Market Committee,250.0
Legal Services Corporation,239.0
James Madison Memorial Fellowship Foundation,234.0
Committee for Purchase from People Who Are Blind or Severely Disabled,231.0
U.S. Interagency Council on Homelessness,225.0
National Council on Disability,223.0
Federal Retirement Thrift Investment Board,223.0
Millennium Challenge Corporation,223.0
United States Trade and Development Agency,220.0
Inter-American Foundation,200.0
Harry S. Truman Scholarship Foundation,171.0
Office of the United States Trade Representative,132.0
Federal Mine Safety and Health Review Commission,130.0
United States African Development Foundation,119.0
U.S. Commission on Civil Rights,73.0
Farm Credit Administration,67.0
National Credit Union Administration,32.0
Farm Credit System Insurance Corporation,31.0
Federal Mediation and Conciliation Service,21.0
National Endowment for the Arts,16.0
Pension Benefit Guaranty Corporation,15.0
Appraisal Subcommittee,15.0
Commission of Fine Arts,13.0
Court Services and Offender Supervision Agency,12.0
Federal Permitting Improvement Steering Council,10.0
Morris K. Udall and Stewart L. Udall Foundation,9.0
Presidio Trust,6.0
United States Access Board,4.0
National Mediation Board,2.0
Administrative Conference of the United States,0.0
Gulf Coast Ecosystem Restoration Council,0.0
Office of Pandemic Preparedness and Response Policy,0.0
Federal Labor Relations Authority,0.0
Office of Navajo and Hopi Indian Relocation,0.0
American Battle Monuments Commission,0.0
Surface Transportation Board,0.0
Office of the Intellectual Property Enforcement Coordinator,0.0
Institute of Museum and Library Services,0.0
Selective Service System,0.0
Denali Commission,0.0
National Capital Planning Commission,0.0
Armed Forces Retirement Home,0.0
