Agency,Total_Staff,Processing Costs,Total Costs,Processed,Simple_Median_Days,Requests_Per_Staff,Cost_Per_Request
AmeriCorps,0.3,28500.0,28500.0,75,6.0,250.0,380.0
Department of Justice,539.73,94660721.33,112233711.32,157180,13.0,291.21968391603207,602.2440598676676
American Battle Monuments Commission,1.0,15750.0,15750.0,38,15.0,38.0,414.4736842105263
Federal Energy Regulatory Commission,5.51,1538457.0,1538457.0,157,25.0,28.493647912885663,9799.089171974523
Office of Special Counsel,4.0,465000.0,558500.0,170,23.0,42.5,2735.294117647059
Commission of Fine Arts,0.1,12058.0,12058.0,91,15.0,910.0,132.5054945054945
United States Copyright Office,0.3,80910.35,80910.35,72,19.0,240.0,1123.7548611111113
Office of Science and Technology Policy,3.0,496176.0,497926.0,178,19.0,59.333333333333336,2787.505617977528
Federal Open Market Committee,3.0,296781.0,296781.0,64,8.0,21.333333333333332,4637.203125
U.S. Commission for the Preservation of America’s Heritage Abroad,0.1,2000.0,2000.0,20,84.0,200.0,100.0
U.S. Commission on Civil Rights,1.0,70685.0,70685.0,84,9.0,84.0,841.4880952380952
Council of the Inspectors General on Integrity and Efficiency,1.25,238090.28,330489.0,100,3.0,80.0,2380.9028
Office of the National Cyber Director,2.0,350000.0,350000.0,155,31.0,77.5,2258.064516129032
Department of Health and Human Services,406.26,66145484.3,80296507.08,49271,10.0,121.27947619750898,1342.4830894440947
Morris K. Udall and Stewart L. Udall Foundation,0.24,3973.0,3973.0,56,6.0,233.33333333333334,70.94642857142857
Surface Transportation Board,0.25,58900.0,58900.0,99,8.0,396.0,594.9494949494949
Department of Energy,89.52,9235075.68,10117074.42,3250,10.0,36.304736371760505,2841.5617476923076
Consumer Financial Protection Bureau,19.5,6131755.19,6136755.19,834,1.0,42.76923076923077,7352.224448441248
Federal Labor Relations Authority,5.0,114518.8,114518.8,204,366.5,40.8,561.3666666666667
U.S. Election Assistance Commission,1.0,27300.0,42500.0,42,17.0,42.0,650.0
Federal Communications Commission,12.57,2837928.5,2863629.63,984,13.0,78.28162291169451,2884.0736788617887
Federal Deposit Insurance Corporation,20.0,3104602.0,3346583.0,873,19.0,43.65,3556.2451317296677
Office of Navajo and Hopi Indian Relocation,0.2,1000.0,1000.0,74,2.0,370.0,13.513513513513514
National Credit Union Administration,2.14,444686.0,444686.0,384,7.0,179.4392523364486,1158.0364583333333
National Science Foundation,5.0,675349.0,675349.0,374,112.75,74.8,1805.7459893048128
Millennium Challenge Corporation,1.0,163500.0,163500.0,58,40.5,58.0,2818.9655172413795
Office of National Drug Control Policy,1.45,190763.7,190763.7,49,13.0,33.793103448275865,3893.1367346938778
U.S. Interagency Council on Homelessness,0.5,25000.0,25000.0,17,93.0,34.0,1470.5882352941176
Office of Pandemic Preparedness and Response Policy,0.1,0.0,0.0,0,,0.0,
United States Trade and Development Agency,0.6,20000.0,20000.0,83,26.5,138.33333333333334,240.96385542168676
Selective Service System,1.0,59280.0,59280.0,73,5.0,73.0,812.054794520548
