"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","30","0"
"Department of Justice","Agency Overall","2024","21567","211"
"American Battle Monuments Commission","Agency Overall","2024","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2024","72","1"
"Office of Special Counsel","Agency Overall","2024","60","0"
"Commission of Fine Arts","Agency Overall","2024","0","0"
"United States Copyright Office","Agency Overall","2024","7","0"
"Office of Science and Technology Policy","Agency Overall","2024","196","0"
"Federal Open Market Committee","Agency Overall","2024","31","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","84","0"
"U.S. Commission on Civil Rights","Agency Overall","2024","64","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","146","3"
"Office of the National Cyber Director","Agency Overall","2024","223","0"
"Department of Health and Human Services","Agency Overall","2024","12685","730"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","0","0"
"Surface Transportation Board","Agency Overall","2024","0","0"
"Department of Energy","Agency Overall","2024","1629","10"
"Consumer Financial Protection Bureau","Agency Overall","2024","142","0"
"Federal Labor Relations Authority","Agency Overall","2024","0","0"
"U.S. Election Assistance Commission","Agency Overall","2024","243","0"
"Federal Communications Commission","Agency Overall","2024","49","13"
"Federal Deposit Insurance Corporation","Agency Overall","2024","252","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","0","0"
"National Credit Union Administration","Agency Overall","2024","1","0"
"National Science Foundation","Agency Overall","2024","784","3"
"Millennium Challenge Corporation","Agency Overall","2024","1","0"
"Office of National Drug Control Policy","Agency Overall","2024","47","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","26","0"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","0","0"
"United States Trade and Development Agency","Agency Overall","2024","15","0"
"Selective Service System","Agency Overall","2024","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2024","0","0"
"Nuclear Regulatory Commission","Agency Overall","2024","97","4"
"Federal Reserve System","Agency Overall","2024","47","7"
"National Labor Relations Board","Agency Overall","2024","26","0"
"U.S. Agency for International Development","Agency Overall","2024","590","12"
"Department of Transportation","Agency Overall","2024","8048","226"
"Social Security Advisory Board","Agency Overall","2024","0","0"
"Institute of Museum and Library Services","Agency Overall","2024","0","0"
"Federal Maritime Commission","Agency Overall","2024","28","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","31","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","12","0"
"Department of Defense","Agency Overall","2024","21436","607"
"Federal Mediation and Conciliation Service","Agency Overall","2024","1","0"
"Advisory Council on Historic Preservation","Agency Overall","2024","120","0"
"Federal Financial Institutions Examination Council","Agency Overall","2024","3","0"
"Securities and Exchange Commission","Agency Overall","2024","475","0"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2024","49","0"
"Administrative Conference of the United States","Agency Overall","2024","0","0"
"Appraisal Subcommittee","Agency Overall","2024","0","0"
"Office of the Director of National Intelligence","Agency Overall","2024","747","13"
"Federal Trade Commission","Agency Overall","2024","38","0"
"Department of Commerce","Agency Overall","2024","1410","252"
"Department of Housing and Urban Development","Agency Overall","2024","721","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","0","0"
"United States Access Board","Agency Overall","2024","0","0"
"Department of the Treasury","Agency Overall","2024","2791","47"
"Department of Homeland Security","Agency Overall","2024","141420","1508"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","18","0"
"United States International Trade Commission","Agency Overall","2024","102","0"
"Environmental Protection Agency","Agency Overall","2024","1564","0"
"Marine Mammal Commission","Agency Overall","2024","6","0"
"Department of Labor","Agency Overall","2024","2094","286"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","41","0"
"United States Postal Service","Agency Overall","2024","201","0"
"Occupational Safety and Health Review Commission","Agency Overall","2024","13","0"
"Tennessee Valley Authority","Agency Overall","2024","34","0"
"Farm Credit Administration","Agency Overall","2024","3","0"
"National Railroad Passenger Corporation","Agency Overall","2024","4","8"
"Office of Personnel Management","Agency Overall","2024","212","10"
"National Endowment for the Humanities","Agency Overall","2024","8","1"
"Legal Services Corporation","Agency Overall","2024","17","0"
"Inter-American Foundation","Agency Overall","2024","9","0"
"Federal Election Commission","Agency Overall","2024","6","0"
"Denali Commission","Agency Overall","2024","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","44","0"
"Consumer Product Safety Commission","Agency Overall","2024","251","1"
"Presidio Trust","Agency Overall","2024","0","0"
"Postal Regulatory Commission","Agency Overall","2024","7","0"
"U.S. Department of State","Agency Overall","2024","21615","126"
"Federal Housing Finance Agency","Agency Overall","2024","98","0"
"Small Business Administration","Agency Overall","2024","413","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","8","0"
"Office of Government Ethics","Agency Overall","2024","27","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","12","0"
"National Transportation Safety Board","Agency Overall","2024","226","0"
"Department of Veterans Affairs","Agency Overall","2024","1539","352"
"United States Institute of Peace","Agency Overall","2024","67","0"
"National Mediation Board","Agency Overall","2024","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","127","0"
"National Archives and Records Administration","Agency Overall","2024","5107","254"
"Department of Education","Agency Overall","2024","2485","21"
"National Endowment for the Arts","Agency Overall","2024","0","0"
"National Council on Disability","Agency Overall","2024","25","0"
"National Aeronautics and Space Administration","Agency Overall","2024","39","8"
"Export-Import Bank of the U.S.","Agency Overall","2024","37","5"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","89","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","54","0"
"Farm Credit System Insurance Corporation","Agency Overall","2024","1","0"
"United States International Boundary and Water Commission","Agency Overall","2024","110","0"
"Office of Management and Budget","Agency Overall","2024","909","4"
"National Capital Planning Commission","Agency Overall","2024","0","0"
"Central Intelligence Agency","Agency Overall","2024","4879","246"
"Merit Systems Protection Board","Agency Overall","2024","127","0"
"Council on Environmental Quality","Agency Overall","2024","83","6"
"Commodity Futures Trading Commission","Agency Overall","2024","11","0"
"National Indian Gaming Commission","Agency Overall","2024","4","0"
"United States African Development Foundation","Agency Overall","2024","31","0"
"Office of the United States Trade Representative","Agency Overall","2024","32","0"
"Social Security Administration","Agency Overall","2024","608","60"
"Armed Forces Retirement Home","Agency Overall","2024","0","0"
"General Services Administration","Agency Overall","2024","354","5"
"Department of the Interior","Agency Overall","2024","4412","193"
"Peace Corps","Agency Overall","2024","35","0"
"Department of Agriculture","Agency Overall","2024","2270","148"
"U.S. Agency for Global Media","Agency Overall","2024","1","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2024","8","1"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","33","0"
"U.S. International Development Finance Corporation","Agency Overall","2024","102","0"
"All agencies","Agency Overall","2024","267056","5382"
