"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","1","0","1","0"
"Department of Justice","Agency Overall","2024","2044","2577","2126","2479"
"American Battle Monuments Commission","Agency Overall","2024","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2024","9","4","14","3"
"Office of Special Counsel","Agency Overall","2024","8","5","7","7"
"Commission of Fine Arts","Agency Overall","2024","0","0","0","0"
"United States Copyright Office","Agency Overall","2024","2","0","2","0"
"Office of Science and Technology Policy","Agency Overall","2024","1","1","1","1"
"Federal Open Market Committee","Agency Overall","2024","0","0","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2024","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","3","9","1","9"
"Office of the National Cyber Director","Agency Overall","2024","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2024","466","435","411","357"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","0","0","0","0"
"Surface Transportation Board","Agency Overall","2024","1","0","1","0"
"Department of Energy","Agency Overall","2024","27","53","28","53"
"Consumer Financial Protection Bureau","Agency Overall","2024","14","16","14","16"
"Federal Labor Relations Authority","Agency Overall","2024","1","1","1","1"
"U.S. Election Assistance Commission","Agency Overall","2024","6","5","6","5"
"Federal Communications Commission","Agency Overall","2024","17","14","11","17"
"Federal Deposit Insurance Corporation","Agency Overall","2024","23","20","23","19"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","0","0","0","0"
"National Credit Union Administration","Agency Overall","2024","2","4","2","4"
"National Science Foundation","Agency Overall","2024","1","11","2","8"
"Millennium Challenge Corporation","Agency Overall","2024","5","1","5","1"
