"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","18","17","4","14","0","7","0","0","4","0","3","8","75"
"Department of Justice","Agency Overall","2024","64557","13561","4667","30504","339","4643","273","1035","30756","339","3462","3044","157180"
"American Battle Monuments Commission","Agency Overall","2024","13","0","0","19","0","0","0","6","0","0","0","0","38"
"Federal Energy Regulatory Commission","Agency Overall","2024","28","74","9","31","1","11","0","1","0","0","0","2","157"
"Office of Special Counsel","Agency Overall","2024","10","61","15","47","2","6","0","1","11","10","5","2","170"
"Commission of Fine Arts","Agency Overall","2024","19","0","0","70","0","0","0","2","0","0","0","0","91"
"United States Copyright Office","Agency Overall","2024","4","2","0","26","13","7","0","7","0","4","0","9","72"
"Office of Science and Technology Policy","Agency Overall","2024","3","141","0","23","1","1","0","7","0","0","2","0","178"
"Federal Open Market Committee","Agency Overall","2024","8","4","2","21","13","3","0","4","6","3","0","0","64"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","2","2","0","16","0","0","0","0","0","0","0","0","20"
"U.S. Commission on Civil Rights","Agency Overall","2024","36","2","0","16","1","3","0","26","0","0","0","0","84"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","8","0","0","50","0","0","0","6","32","0","4","0","100"
"Office of the National Cyber Director","Agency Overall","2024","1","10","0","127","2","0","0","15","0","0","0","0","155"
"Department of Health and Human Services","Agency Overall","2024","15284","4096","8453","5257","432","3570","2009","802","5160","1114","2728","366","49271"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","8","7","1","36","0","0","0","4","0","0","0","0","56"
"Surface Transportation Board","Agency Overall","2024","18","6","0","69","0","3","2","0","0","0","1","0","99"
"Department of Energy","Agency Overall","2024","422","328","35","424","416","125","26","98","64","103","560","649","3250"
"Consumer Financial Protection Bureau","Agency Overall","2024","67","102","50","49","3","75","0","23","55","272","138","0","834"
