"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","0","0","0","1","5","11","3","0","2","0","3","2","0","0"
"Department of Justice","Agency Overall","2024","423","362","3138","632","2702","14581","1510","39","13799","2681","8353","2412","4","1"
"American Battle Monuments Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2024","0","1","15","7","45","67","0","0","0","0","1","4","0","0"
"Office of Special Counsel","Agency Overall","2024","0","0","0","0","45","63","5","1","68","20","1","0","0","0"
"Commission of Fine Arts","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2024","0","0","0","0","2","2","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2024","0","3","0","9","120","141","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2024","0","0","0","1","3","2","0","0","0","0","1","0","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","0","0","0","0","4","7","0","0","7","0","0","0","0","0"
"Office of the National Cyber Director","Agency Overall","2024","0","0","0","0","10","10","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2024","0","26","319","1409","691","10687","82","146","798","13","74","63","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","0","0","0","2","2","4","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2024","0","0","0","2","1","3","0","0","0","0","1","0","0","0"
"Department of Energy","Agency Overall","2024","2","0","27","142","55","293","5","0","33","0","12","18","0","4"
"Consumer Financial Protection Bureau","Agency Overall","2024","0","1","4","47","47","95","20","0","7","24","64","0","39","0"
"Federal Labor Relations Authority","Agency Overall","2024","0","17","2","3","22","59","12","0","2","0","2","1","0","0"
"U.S. Election Assistance Commission","Agency Overall","2024","0","0","0","2","1","6","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2024","0","1","2","20","36","150","2","0","13","3","3","1","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2024","0","1","8","23","20","75","7","0","21","10","20","0","16","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2024","0","15","0","32","19","52","1","0","4","0","1","0","34","0"
"National Science Foundation","Agency Overall","2024","0","1","2","49","10","60","0","0","10","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2024","0","0","0","0","3","2","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2024","0","0","0","0","10","14","0","0","1","0","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2024","0","1","1","2","4","14","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2024","0","1","0","0","1","27","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2024","0","2","2","3","8","189","0","0","162","1","167","1","0","0"
"Nuclear Regulatory Commission","Agency Overall","2024","1","1","1","12","16","33","4","0","15","0","5","20","0","0"
