"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","N/A","N/A","N/A","0"
"Department of Justice","Agency Overall","2024","5 U.S.C. app. § 107(a)(2)","Meyerhoff v. EPA, 958 F.2d 1498, 1500- 02 (9th Cir. 1992); Boyd v. Exec. Off. for U.S. Attys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain government employees","3"
"Department of Justice","Agency Overall","2024","10 U.S.C. § 130(a)","Newport Aeronautical Sales v. Dep't of the Air Force, 684 F.3d 160, 167-68 (D.C. Cir. 2012); Chenkin v. Dep't of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (M.D. Pa. Jan. 14, 1994), aff'd, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).","Certain ""technical data with military or space application in the possession of, or under the control of, the Department of Defense""","5"
"Department of Justice","Agency Overall","2024","10 U.S.C. § 130b","Freedom Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Hiken v. DOD, 521 F. Supp. 2d 1047, 1062
(N.D. Cal. 2007); O'Keefe v. DOD, 463 F. Supp. 2d 317, 325
(E.D.N.Y. 2006); Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005). ","Personally identifiable information pertaining to ""any member of the armed forces assigned to an overseas unit, a sensitive unit, or a routinely deployable unit"" and ""any employee of the Department of Defense or of the Coast Guard whose duty station is with any such unit""","2"
"Department of Justice","Agency Overall","2024","10 U.S.C. § 130c","ACLU v. DOD, 389 F. Supp. 2d 547, 553-54 (S.D.N.Y. 2005); Nat'l Inst. of Mil. Just. v. DOD, 404 F. Supp. 2d 325, 335-37 (D.D.C. 2005), aff'd on other grounds, 512 F.3d 677 (D.C. Cir. 2008); Gerstein v. DOD, No. 03-5193, slip op. at 8 (N.D. Ca. Dec. 21, 2004).","Certain ""sensitive information of foreign governments"" and certain international organizations","2"
"Department of Justice","Agency Overall","2024","10 U.S.C. § 424","Hamdan v. DOJ, 797 F.3d 759, 776 (9th Cir. 2015); Freedom
Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Wickwire Gavin, P.C. v. Def. Intel. Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004). ","Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","4"
"Department of Justice","Agency Overall","2024","10 U.S.C. § 1102(f)","Goodrich v. Dep't of the Air Force, 404 F. Supp. 2d 48, 50-51 (D.D.C. 2005); Dayton Newspapers, Inc. v. Dep't of the Air Force, 107 F. Supp. 2d 912, 917 (S.D. Ohio 1999).","Medical quality assurance records created by or for the Department of Defense as part of a medical quality assurance program","1"
"Department of Justice","Agency Overall","2024","10 U.S.C. § 3309 (formerly at 10 U.S.C. § 2305(g))","Roman v. NSA, Nos. 09-2947, 09-4281, 09-3344, 09-2504, 09-5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb. 22, 2012); Margolin v. NASA, No. 09-CV-00421-LRHVPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011).","Certain contractor proposals","5"
"Department of Justice","Agency Overall","2024","13 U.S.C. §§ 8(b), 9(a)","Baldrige v. Shapiro, 455 U.S. 345, 354-55 (1982).","Certain census data","4"
"Department of Justice","Agency Overall","2024","13 U.S.C. § 301(g)","Afr. Fund v. Mosbacher, No. 92 Civ. 289, 1993 WL 183736, at *5 (S.D.N.Y. May 26, 1993); Young Conservative Found., Inc. v. U.S. Dep't of Commerce, No. 85-3982, 1987 WL 9244, at *2-3 (D.D.C. Mar. 25, 1987).","Certain shippers' export declarations or successor documents","3"
"Department of Justice","Agency Overall","2024","15 U.S.C. § 6801","Hodes v. HUD, 532 F. Supp. 2d 108, 117 (D.D.C. 2008).","Nonpublic personal information of customers of financial institutions","1"
"Department of Justice","Agency Overall","2024","15 U.S.C. § 18a(h)","N/A","Information submitted in connection with the premerger notification provisions of the Hart-Scott-Rodino Antitrust Improvements Act of 1976. ","8"
"Department of Justice","Agency Overall","2024","15 U.S.C. § 1314(g)","Motion Picture Ass'n of Am. v. DOJ, No. 80 Civ. 6612, slip op. at 1 (S.D.N.Y. Oct. 6, 1981).","""Any documentary material, answers to written interrogatories, or transcripts of oral testimony"" provided pursuant to certain civil investigative demands pertaining to antitrust investigations","3"
"Department of Justice","Agency Overall","2024","54 U.S.C. § 100707 (formerly at 16 U.S.C. § 5937)","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03- 5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004); Sw. Ctr. for Biological Diversity v. USDA, 170 F. Supp. 2d 931, 945 (D. Ariz. 2000), aff'd, 314 F.3d 1060, 1062 (9th Cir. 2002); Pease v. U.S. Dep't of Interior, No. 1:99CV113, slip op. at 2, 4 (D. Vt. Sept. 17, 1999).","Information pertaining to: ""endangered, threatened, rare, or commercially valuable"" National Park System resources; ""mineral or paleontological objects within units of the National Park System""; or ""objects of cultural patrimony within units of the National Park System""","2"
"Department of Justice","Agency Overall","2024","18 U.S.C. § 798","Larson v. Dep't of State, 565 F.3d 857, 868-69 (D.C. Cir. 2009); N.Y. Times Co. v. DOJ, No. 14 Civ 03776, 2016 WL 5946711, at *6 (S.D.N.Y. Aug. 18, 2016); Adejumobi v. NSA, No. 07-1237, 2007 WL 4247878, at *3 (M.D. Fla. Dec. 3, 2007), aff'd per curiam, 287 F. App'x 770 (11th Cir. 2008); Winter v. NSA, 569 F. Supp. 545, 546-48 (S.D. Cal. 1983).","Certain classified information pertaining to the communication intelligence and cryptographic devices of the United States or any foreign government","1"
"Department of Justice","Agency Overall","2024","18 U.S.C. §§ 2510, et seq.","Payne v. DOJ, No. 96-30840, 1997 WL 450139, at *3 (5th Cir. July 11, 1997); Lam Lek Chong v. DEA, 929 F.2d 729, 732-33 (D.C. Cir. 1991).","Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","156"
"Department of Justice","Agency Overall","2024","18 U.S.C. § 3123(d)","Labow v. DOJ, 831 F.3d 523, 527-28 (D.C. Cir. 2016); ACLU v. DOJ, 2014 WL 4954121, at *11 (N.D. Cal. Sept. 30, 2014);
Manna v. DOJ, 815 F. Supp. 798, 812 (D.N.J. 1993), aff'd on
other grounds, 51 F.3d 1158 (3d Cir. 1995).","Certain court ""order[s] authorizing or approving the installation and use of a pen register or a trap and trace device""; information pertaining to ""the existence of the pen register or trap and trace device or the existence of the investigation""","93"
"Department of Justice","Agency Overall","2024","18 U.S.C. § 3509(d)","Corley v. DOJ, 998 F.3d 981, 982-85 (D.C. Cir. 2021).","Certain records containing identifying information pertaining to children involved in criminal proceedings","126"
"Department of Justice","Agency Overall","2024","18 U.S.C. § 3521(b)(1)(g)","Bonadonna v. DOJ, 791 F. Supp. 2d 269, 270 (D. Mass. 2010), aff'd, No. 10 1595, 2011 WL 4770189 (1st Cir. Jan. 7, 2011).","""[T]he identity or location of the person relocated or protected, or any other matter concerning the person or the program after weighing [various factors],"" subject to certain exceptions","12"
"Department of Justice","Agency Overall","2024","18 U.S.C. § 5038(a)","Lavado v. DEA, No. 90-5262, 1991 WL 119586, at *1 (D.C. Cir. June 28, 1991). ","Records of juvenile delinquency proceedings","19"
"Department of Justice","Agency Overall","2024","26 U.S.C. §§ 6103, 6105","Nosal v. IRS, 523 F. Supp. 3d 72, 79 (D.D.C. 2021); Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Elec. Priv. Info. Ctr. v. IRS, 910 F.3d 1232, 1237 (D.C. Cir. 2018); Leonard v. U.S. Dep'of Treasury, 590 F. App'x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information","323"
"Department of Justice","Agency Overall","2024","28 U.S.C. § 652(d)","Yelder v. DOD, 577 F. Supp. 2d 342, 346-47 (D.D.C. 2008).","""[C]onfidential dispute resolution communications""","1"
"Department of Justice","Agency Overall","2024","31 U.S.C. § 3730(b)(2)","N/A","Records pertaining to civil actions for false claims against the United States Government","2"
"Department of Justice","Agency Overall","2024","31 U.S.C. § 5319","Yunes v. DOJ, 263 F. Supp. 3d 82, 87 (D.D.C. 2017)); Council on Am.-Islamic Rels., Cal. v. FBI, 749 F. Supp. 2d 1104, 1117 (S.D. Cal. 2010); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), affd on other grounds, 288 F. App'x 829 (3d Cir. 2008).  ","Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports","32"
"Department of Justice","Agency Overall","2024","39 U.S.C. § 410(c)(2)","Wickwire Gavin, P.C. v. USPS, 356 F.3d 588, 589, 597 (4th Cir. 2004); Am. Postal Workers Union, AFL-CIO v. USPS, 742 F. Supp. 2d 76, 81-83 (D.D.C. 2010); Reid v. USPS, No. 05-294, 2006 WL 1876682, at *5-9 (S.D. Ill. July 5, 2006); Robinett v. USPS, No. 02-1094, 2002 WL 1728582, at *5 (E.D. La. July 24, 2002).","Commercial information which would not be disclosed under good business practice","1"
"Department of Justice","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09- CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","9"
"Department of Justice","Agency Overall","2024","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))","Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","4"
"Department of Justice","Agency Overall","2024","42 U.S.C. § 300aa-12(d)(4)(A)","Long v. DOJ, 778 F. Supp. 2d 222, 234 (N.D.N.Y. 2011).","""Except as provided in subparagraph (B), information submitted to a special master or the court in a proceeding on a petition [for compensation under the National Vaccine Injury Compensation Program] . . . without the express written consent of the person who submitted the information""","19"
"Department of Justice","Agency Overall","2024","42 U.S.C. § 2000g-2b","N/A","Conciliation assistance data received by the Community Relations Service","14"
"Department of Justice","Agency Overall","2024","34 U.S.C. § 10231 (formerly at 42 U.S.C. § 3789g)","N/A","Data received by the Bureau of Justice Statistics and used only for statistical or research purposes","4"
"Department of Justice","Agency Overall","2024","42 U.S.C. § 14132(b)(3)","Moore v. Nat'l DNA Index System, 662 F. Supp. 2d 136, 140 (D.D.C. 2009).","Certain ""stored DNA samples and DNA analyses""","3"
"Department of Justice","Agency Overall","2024","49 U.S.C. § 114(r) (formerly at 49 U.S.C. § 114(s))","Magassa v. TSA, No. 19-01953, 2022 WL 971207, at *5 (D.D.C Mar. 31, 2022); Skurow v. DHS, 892 F. Supp. 2d 319, 329-30 (D.D.C. 2012); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).","Information obtained or developed in carrying out security under the authority of the Aviation and Transportation Security Act or under chapter 449 of this title","2"
"Department of Justice","Agency Overall","2024","50 U.S.C. § 3605 (formerly at 50 U.S.C. § 402 note)","ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Elec. Priv. Info. Ctr. v. NSA, 678 F.3d 926, 931 (D.C. Cir. 2012); Houghton v. NSA, 378 F. App'x 235, 238-39 (3d Cir. 2010) (per curiam); Lahr v. NTSB, 569 F.3d 964, 985 (9th Cir. 2009).","Information pertaining to the functions or organization of NSA; certain information pertaining to NSA employees","2"
"Department of Justice","Agency Overall","2024","50 U.S.C. § 3507 (formerly at 50 U.S.C. § 403g)","Assassination Archives & Rsch. Ctr. v. CIA, No. 18-5280, 2019 WL 691517 (D.C. Cir. Feb. 15, 2019) (per curiam); ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F. 3d 205 (3d Cir. 2008). ","Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency""","14"
"Department of Justice","Agency Overall","2024","50 U.S.C. § 3024(i)(1) (formerly at 50 U.S.C. § 403-1(i)(1))","CIA v. Sims, 471 U.S. 159, 167 (1985).","Intelligence sources and methods","1744"
"Department of Justice","Agency Overall","2024","50 U.S.C. § 3141(a) (formerly at 50 U.S.C. § 431)","CIA v. Sims, 471 U.S. 159, 167, 174 n.19 (1985) (dictum); Wolf v. CIA, 569 F. Supp. 2d 1, 8 (D.D.C. 2008).","[O]perational files of the Central Intelligence Agency","1"
"Department of Justice","Agency Overall","2024","50 U.S.C. § 3143 (formerly at 50 U.S.C. § 432a)","Aftergood v. Nat'l Reconnaissance Off., 441 F. Supp. 2d 37, 46 (D.D.C. 2006).","Operational files of the National Reconnaissance Office","1"
"Department of Justice","Agency Overall","2024","50 U.S.C. § 1702(a)(1)","Wis. Project on Nuclear Arms Control v. U.S. Dep't of Com., 317 F.3d 275, 284 (D.C. Cir. 2003).","Authorizes the President to ""regulate . . . prevent or prohibit . . . importation or exportation of . . . any property in which any foreign country or a national thereof has any interest . . . by any person, or with respect to any property, subject to the jurisdiction of the United States""","2"
"Department of Justice","Agency Overall","2024","Fed. R. Crim. P. 6(e)","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Sorin v. DOJ, No. 18-99, 2018 WL 6431027 (2d Cir. Dec. 6, 2018) (per curium); Widi v. McNeil, No. 12-CV-00188, 2016 WL 4394724, at *23 (D. Me. Aug 16, 2016); Durham v. U.S. Att'y Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records that would reveal some secret aspect pertaining to grand jury proceedings","675"
