"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","0","0.30","0.30"
"Department of Justice","Agency Overall","2024","446","93.73","539.73"
"American Battle Monuments Commission","Agency Overall","2024","0","1.00","1.00"
"Federal Energy Regulatory Commission","Agency Overall","2024","1","4.51","5.51"
"Office of Special Counsel","Agency Overall","2024","2","2.00","4.00"
"Commission of Fine Arts","Agency Overall","2024","0","0.10","0.10"
"United States Copyright Office","Agency Overall","2024","0","0.30","0.30"
"Office of Science and Technology Policy","Agency Overall","2024","2","1.00","3.00"
"Federal Open Market Committee","Agency Overall","2024","0","3.00","3.00"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","0","0.10","0.10"
"U.S. Commission on Civil Rights","Agency Overall","2024","1","0.00","1.00"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","0","1.25","1.25"
"Office of the National Cyber Director","Agency Overall","2024","1","1.00","2.00"
"Department of Health and Human Services","Agency Overall","2024","336","70.26","406.26"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","0","0.24","0.24"
"Surface Transportation Board","Agency Overall","2024","0","0.25","0.25"
"Department of Energy","Agency Overall","2024","53","36.52","89.52"
"Consumer Financial Protection Bureau","Agency Overall","2024","14","5.50","19.50"
"Federal Labor Relations Authority","Agency Overall","2024","5","0.00","5.00"
"U.S. Election Assistance Commission","Agency Overall","2024","0","1.00","1.00"
"Federal Communications Commission","Agency Overall","2024","6","6.57","12.57"
"Federal Deposit Insurance Corporation","Agency Overall","2024","10","10.00","20.00"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","0","0.20","0.20"
"National Credit Union Administration","Agency Overall","2024","0","2.14","2.14"
"National Science Foundation","Agency Overall","2024","5","0.00","5.00"
"Millennium Challenge Corporation","Agency Overall","2024","0","1.00","1.00"
"Office of National Drug Control Policy","Agency Overall","2024","0","1.45","1.45"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","0","0.50","0.50"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","0","0.10","0.10"
"United States Trade and Development Agency","Agency Overall","2024","0","0.60","0.60"
"Selective Service System","Agency Overall","2024","1","0.00","1.00"
"Court Services and Offender Supervision Agency","Agency Overall","2024","3","0.00","3.00"
"Nuclear Regulatory Commission","Agency Overall","2024","10","4.00","14.00"
