"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","11","76","107","27","131","134","0","N/A","N/A"
"Department of Justice","Agency Overall","2024","6925","32","131.71","19075","387","525.74","493","609","751.3"
"American Battle Monuments Commission","Agency Overall","2024","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2024","20","65","123.4","60","257","419.2","0","N/A","N/A"
"Office of Special Counsel","Agency Overall","2024","21","30","49.1","71","41","51.52","0","N/A","N/A"
"Commission of Fine Arts","Agency Overall","2024","8","8","9","0","N/A","N/A","0","N/A","N/A"
"United States Copyright Office","Agency Overall","2024","0","N/A","N/A","8","280","232","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2024","6","6","10.8","175","612","609.4","15","538","638.5"
"Federal Open Market Committee","Agency Overall","2024","6","3","18","29","197","192.5","0","N/A","N/A"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","84","134","161","0","N/A","N/A","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2024","0","N/A","N/A","64","28","27","0","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","36","246","207","110","134","209","0","N/A","N/A"
"Office of the National Cyber Director","Agency Overall","2024","0","N/A","N/A","223","81","81","0","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2024","3096","101.24","127.75","12345","322.43","438.99","138","1053.64","901.96"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","18","9","8","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2024","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Energy","Agency Overall","2024","1288","119.00","152.25","1061","339.00","491.66","2","62.50","62.50"
"Consumer Financial Protection Bureau","Agency Overall","2024","37","44","55.54","141","99","123.69","1","378","378"
"Federal Labor Relations Authority","Agency Overall","2024","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Election Assistance Commission","Agency Overall","2024","219","523","472","25","747","611","1","951","951"
"Federal Communications Commission","Agency Overall","2024","59","9","16.63","39","163","260.51","6","257.50","246.17"
"Federal Deposit Insurance Corporation","Agency Overall","2024","25","72.00","111.40","200","130.00","160.10","34","327.00","300.00"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","0","N/A","N.A","0","N/A","N/A","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2024","34","9","12.09","2","5.5","4.4","0","N/A","N/A"
"National Science Foundation","Agency Overall","2024","334","<1","<1","484","<1","<1","2","<1","<1"
"Millennium Challenge Corporation","Agency Overall","2024","32","85","85","0","N/A","N/A","0","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2024","0","N/A","N/A","56","202","282","0","N/A","N/A"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","26","248","244","0","N/A","N/A","0","N/A","N/A"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2024","15","77.5","96.7","0","N/A","N/A","0","N/A","N/A"
"Selective Service System","Agency Overall","2024","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2024","2","6","6","13","4","4","0","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2024","42","41","121.26","279","19","258.95","3","15","179.33"
"Federal Reserve System","Agency Overall","2024","3","5","4","98","19","48","5","92","96"
"National Labor Relations Board","Agency Overall","2024","215","10","36.67","0","N/A","N/A","24","5","6.63"
"U.S. Agency for International Development","Agency Overall","2024","0","N/A","N/A","709","150","325.7","13","1095","1040.69"
"Department of Transportation","Agency Overall","2024","5923","79","135.38","3703","331","521.7","96","962.5","941.56"
"Social Security Advisory Board","Agency Overall","2024","1","380","380","0","N/A","N/A","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2024","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2024","5","34","81","38","20","75","0","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","31","121","122","0","N/A","N/A","0","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","14","84","105","0","N/A","N/A","0","N/A","N/A"
"Department of Defense","Agency Overall","2024","5511","145","336.63","18318","403","625.50","242","138","282.65"
"Federal Mediation and Conciliation Service","Agency Overall","2024","7","9","9.71","0","N/A","N/A","0","N/A","N/A"
"Advisory Council on Historic Preservation","Agency Overall","2024","127","120","150","20","120","150","0","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2024","5","5","18","2","218","218","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2024","251","4","10","1011","35","100","0","N/A","N/A"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2024","640","9","30","49","24","97.06","0","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2024","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2024","6","4.5","7","0","N/A","N/A","0","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2024","150","483","679.94","641","675","831.16","10","360","715.3"
"Federal Trade Commission","Agency Overall","2024","21","23","52.71","57","34","73","1","2","2"
"Department of Commerce","Agency Overall","2024","885","57","181.1","850","336","553","68","787.5","727.2"
"Department of Housing and Urban Development","Agency Overall","2024","20","N/A","N/A","910","11","67.4","2","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","27","3","4.3","45","5","5.07","0","N/A","N/A"
"United States Access Board","Agency Overall","2024","2","6","6","0","N/A","N/A","0","N/A","N/A"
"Department of the Treasury","Agency Overall","2024","473","103","204.36","2765","674.5","776.64","24","1128","991.38"
"Department of Homeland Security","Agency Overall","2024","139333","83","98","78898","15","65","278","131","333"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","0","N/A","N/A","18","41","70","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2024","6","15","10.85","102","65.5","114.46","0","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2024","827","35","191.05","1304","178","378","3","<1","963.33"
"Marine Mammal Commission","Agency Overall","2024","14","9","83","0","N/A","N/A","0","N/A","N/A"
"Department of Labor","Agency Overall","2024","1487","32.00","99.97","1586","124.00","226.88","2","127.50","127.50"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","48","432","435","0","N/A","N/A","0","N/A","N/A"
"United States Postal Service","Agency Overall","2024","342","28","131.3","119","63","188.61","3","434","593.67"
"Occupational Safety and Health Review Commission","Agency Overall","2024","4","1","1","19","170","117","0","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2024","15","13","12.73","36","99.5","128.5","0","N/A","N/A"
"Farm Credit Administration","Agency Overall","2024","3","10","20","0","N/A","N/A","0","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2024","10","10.9","89","0","N/A","N/A","0","N/A","N/A"
"Office of Personnel Management","Agency Overall","2024","173","94","137.77","146","30","114.91","0","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2024","0","N/A","N/A","13","91","106.92","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2024","17","9.5","9.4","0","N/A","N/A","0","N/A","N/A"
"Inter-American Foundation","Agency Overall","2024","7","153","118","2","97","97","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2024","0","N/A","N/A","40","24","2","0","N/A","N/A"
"Denali Commission","Agency Overall","2024","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","44","163","216","0","N/A","N/A","0","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2024","22","201.5","413.23","321","192","346.93","0","N/A","N/A"
