"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","6","28","<1","316","48","78","<1","354","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2024","13","72.24","<1","2006","111","336.72","<1","2734","51.5","238.46","<1","2646"
"American Battle Monuments Commission","Agency Overall","2024","15","14","5","23","37","43","26","66","N/A","N/A","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2024","25","60.1","1","508","354","459.3","18","1227","N/A","N/A","N/A","N/A"
"Office of Special Counsel","Agency Overall","2024","23","32.52","<1","193","47","93.25","<1","297","4","37.2","1","108"
"Commission of Fine Arts","Agency Overall","2024","15","8","1","26","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2024","19","25","11","143","62","95","1","454","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2024","19","11.4","1","26","29","102.6","21","1697","531","531","531","531"
"Federal Open Market Committee","Agency Overall","2024","8","11.3","<1","20","170","130.4","22","257","N/A","N/A","N/A","N/A"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","84","90","1","278","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2024","9","51","1","199","63","63","6","173","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","3","6.75","1","162","102","103.67","4","199","N/A","N/A","0","0"
"Office of the National Cyber Director","Agency Overall","2024","31","31","31","31","80","161","63","260","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2024","10.00","24.54","<1","1433","21.35","88.46","<1","2558","109.17","293.00","<1","1621"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","6","9","<1","122","0","0","N/A","N/A","0","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2024","8","9.82","1","35","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2024","10.00","30.72","0","1864","64.00","196.14","0","2475","36.00","106.44","0","577"
"Consumer Financial Protection Bureau","Agency Overall","2024","1","8.33","1","158","34.5","69.87","1","669","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2024","366.5","366.5","1","778","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Election Assistance Commission","Agency Overall","2024","17","266","1","1063","1002","754","13","1408","959","950","941","965"
"Federal Communications Commission","Agency Overall","2024","13","23.60","1","271","28","60.74","2","1355","37.50","84.64","1","414"
"Federal Deposit Insurance Corporation","Agency Overall","2024","19.00","23.90","2","108","64.00","83.22","2","423","86.00","102.40","25","391"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","2","4.2","<1","30","N/A","N.A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2024","7","10.06","<1","43","30","30.28","4","120","3.5","3.75","2","6"
"National Science Foundation","Agency Overall","2024","112.75","414.81","<1","2408","871.5","1154.5","<1","2679","380","425.66","69","828"
"Millennium Challenge Corporation","Agency Overall","2024","40.5","52.39","2","300","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2024","13","12","2","20","44","58","23","154","N/A","N/A","N/A","N/A"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","93","99","12","253","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2024","26.5","83.2","1","1789","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2024","5","8","1","42","103","94","55","114","N/A","N/A","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2024","1","2","1","20","18","16","1","20","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2024","8","20.42","<1","328","16","118.17","<1","1780","N/A","N/A","N/A","N/A"
"Federal Reserve System","Agency Overall","2024","2","5","0","20","50","80","4","557","106","140","1","374"
"National Labor Relations Board","Agency Overall","2024","8","14.98","<1","263","N/A","N/A","N/A","N/A","4","5.99","<1","62"
"U.S. Agency for International Development","Agency Overall","2024","34","34","9","59","1","111.09","<1","1355","140","14","140","140"
"Department of Transportation","Agency Overall","2024","25","76.14","<1","1412","87","268.57","<1","2387","60.5","324.11","1","1924"
"Social Security Advisory Board","Agency Overall","2024","10","12","1","53","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2024","3","4.96","1","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2024","41","52","3","354","440","440","413","468","N/A","N/A","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","6","8","3","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","45","47","1","128","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2024","6","30.31","1","2444","31","199.75","1","4495","17","79.81","1","1827"
"Federal Mediation and Conciliation Service","Agency Overall","2024","10","11.71","<1","52","30","30","30","30","N/A","N/A","N/A","N/A"
