"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","8","57","<1","316","47","89","21","354","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2024","25","90.71","<1","2006","194","374.87","<1","2734","41","195.72","<1","2646"
"American Battle Monuments Commission","Agency Overall","2024","16","14","5","20","46","46","26","46","N/A","N/A","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2024","30","78.9","1","508","354","464","18","1227","N/A","N/A","N/A","N/A"
"Office of Special Counsel","Agency Overall","2024","40","49","<1","193","157","159","10","297","4","19.5","1","69"
"Commission of Fine Arts","Agency Overall","2024","11","5","1","25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2024","75","75","75","75","110","108","63","150","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2024","19","10.8","2","26","29","106.6","21","1697","531","531","531","531"
"Federal Open Market Committee","Agency Overall","2024","6.5","9.3","4","20","85.5","116.9","22","257","N/A","N/A","N/A","N/A"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","108","145","84","278","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2024","68","68","8","128","61","63","6","173","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","14","59.33","2","162","102","104.75","29","186","N/A","N/A","0","0"
"Office of the National Cyber Director","Agency Overall","2024","30","30","30","30","150","161","63","260","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2024","13.40","24.90","<1","1433","40.04","114.92","<1","2558","90.07","141.36","2","1042"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","8","15","<1","122","0","0","N/A","N/A","0","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2024","7","8.2","1","35","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2024","28.00","58.97","0","1064","161.00","294.93","0","2012","136.00","217.50","0","577"
"Consumer Financial Protection Bureau","Agency Overall","2024","21","31.37","1","158","45","96.69","6","669","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2024","25","68.77","3","344","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Election Assistance Commission","Agency Overall","2024","449","483","1","1063","1408","1408","1408","1408","953","954","945","965"
"Federal Communications Commission","Agency Overall","2024","23","35.39","1","271","70","137.58","21","1355","37.50","84.7","12","390"
"Federal Deposit Insurance Corporation","Agency Overall","2024","36.00","42.27","2","108","72.00","93.71","2","423","111.00","143.88","33","391"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","5","6.5","1","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2024","19","17.58","1","43","30","32.05","15","120","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2024","21","106.21","<1","397","65","153.10","2","448","69","69","69","69"
"Millennium Challenge Corporation","Agency Overall","2024","40.5","52.39","3","300","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2024","11","12","2","20","44","56","23","154","N/A","N/A","N/A","N/A"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","93","99","12","253","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2024","23.5","83.2","1","1789","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2024","5","8","1","42","103","94","55","114","N/A","N/A","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2024","16","11","1","20","19","17","1","20","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2024","18","41.73","<1","328","113","291.09","1","1780","N/A","N/A","N/A","N/A"
"Federal Reserve System","Agency Overall","2024","1","4","0","20","49","80","4","557","177","162","1","374"
"National Labor Relations Board","Agency Overall","2024","10","13.42","<1","80","N/A","N/A","N/A","N/A","3","6.3","<1","62"
"U.S. Agency for International Development","Agency Overall","2024","9","9","9","9","161","341.93","<1","1355","140","140","140","140"
"Department of Transportation","Agency Overall","2024","31","82.47","<1","1319","104","219.01","<1","2206","54.5","194.14","1","1048"
"Social Security Advisory Board","Agency Overall","2024","18","18","18","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2024","3","5.9","1","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2024","60","64","5","354","413","413","413","413","N/A","N/A","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","6","8","6","12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","82","87","45","128","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2024","5","18.96","1","2032","30","151.84","1","4495","15","67.09","1","1827"
"Federal Mediation and Conciliation Service","Agency Overall","2024","15","16.19","1","52","30","30","30","30","N/A","N/A","N/A","N/A"
"Advisory Council on Historic Preservation","Agency Overall","2024","65","75","7","270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2024","37","38","26","50","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2024","5","6.56","1","20","67","113.77","<1","1059","445","445","445","445"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","4","7","1","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2024","10","11.89","<1","736","19","50.43","<1","1727","N/A","N/A","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2024","1","1.09","<1","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2024","18","17","7","29","79","79","79","79","N/A","N/A","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2024","20","138.13","2","2649","38","278.62","3","2430","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2024","3","7.79","<1","159","24.5","42.1","1","325","1","5","<1","19"
"Department of Commerce","Agency Overall","2024","30","73.9","<1","941","82","205.3","<1","1526","67","89.1","12","243"
"Department of Housing and Urban Development","Agency Overall","2024","11.00","10.98","0","34","32.00","111.89","<1","1986","17.00","29.25","0","144"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","1","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","10","10.21","1","29","12","12.65","1","67","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2024","13","29","1","91","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2024","1","7.91","1","807","209","549.82","1","2519","561.5","703","17","1666"
"Department of Homeland Security","Agency Overall","2024","9","11","<1","34","28","54","1","2086","136","146","<1","578"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","47","47","6","88","162","158","32","285","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2024","14","14","4","20","50","112","21","471","N/A","N/A","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2024","21","49.85","<1","1068","71","162.65","<1","1780","49","103","10","469"
"Marine Mammal Commission","Agency Overall","2024","16","34","7","245","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2024","13.00","24.13","<1","1057","19.00","57.28","<1","1794","13.50","39.11","<1","582"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","19","19","19","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2024","16","23.71","<1","743","54.5","171.84","<1","873","21","22","6","39"
"Occupational Safety and Health Review Commission","Agency Overall","2024","10","10","1","20","30","35","17","64","N/A","N/A","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2024","16.5","14.1","<1","29","79","124.18","26","574","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2024","15","14","2","29","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2024","","","<1","684","","","<1","1399","","","<1","330"
"Office of Personnel Management","Agency Overall","2024","49","66.18","0","839","117","197.69","10","1121","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2024","10","10.36","1","20","93.5","115.88","21","273","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2024","9.5","9.28","5","32","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Inter-American Foundation","Agency Overall","2024","9","26","2","85","162","162","160","164","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2024","N/A","N/A","N/A","N/A","16","17","1","21","N/A","N/A","N/A","N/A"
"Denali Commission","Agency Overall","2024","3","3","1","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2024","19","127.67","3","1413","63","143.89","2","1480","N/A","N/A","N/A","N/A"
"Presidio Trust","Agency Overall","2024","126","124","40","182","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2024","7","41.18","1","187","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2024","16","60.04","<1","1221","92","188.93","2","4351","100","323.31","18","2117"
"Federal Housing Finance Agency","Agency Overall","2024","13","19.47","1","412","105","182.7","20","620","N/A","N/A","N/A","N/A"
"Small Business Administration","Agency Overall","2024","3","21.74","<1","1045","90.5","123.38","19","268","5","25.43","<1","305"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","1","2.5","1","16","37","57","1","279","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2024","23","39.7","1","143","N/A","N/A","N/A","N/A","24","24","24","24"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","70","70","70","70","72","93","27","234","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2024","30.5","102.86","<1","379","226.5","242.11","11","653","N/A","N/A","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2024","2.00","45.42","<1","2911","2.00","50.68","<1","2500","10.00","48.33","<1","700"
"United States Institute of Peace","Agency Overall","2024","146","115","19","157","263","263","263","263","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2024","6","7.56","1","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","51.5","102","1","202","36.5","480","35","1735","29","29","29","29"
"National Archives and Records Administration","Agency Overall","2024","15","285","1","3004","421","893","1","4903","1","357","182","564"
"Department of Education","Agency Overall","2024","10.00","46.33","<1","1218","69.00","190.94","<1","1760","983.00","983.00","563","1403"
"National Endowment for the Arts","Agency Overall","2024","19","18","6","30","26","26","16","39","N/A","N/A","N/A","N/A"
"National Council on Disability","Agency Overall","2024","42","15 ","19","135"," 140","142","46","224","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2024","9","14.3","<1","153","29","42.9","1","430","319","319","202","436"
"Export-Import Bank of the U.S.","Agency Overall","2024","14","16.67","0","67","110","134.44","19","738","N/A","N/A","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","162","409","5","1068","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","61","131.86","29","383","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2024","15","17","4","40","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2024","14.5","34.35","1","101","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Management and Budget","Agency Overall","2024","205","372","2","1789","168","614","3","1782","637","637","499","775"
"National Capital Planning Commission","Agency Overall","2024","10","17.43","2","32","N/A","N/A","0","0","N/A","N/A","0","0"
"Central Intelligence Agency","Agency Overall","2024","9.5","14.93","<1","124","472.50","691.81","17","3278","107","107","107","107"
"Merit Systems Protection Board","Agency Overall","2024","3.00","11.10","<1","155","144.50","319.52","6","1900","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2024","62","126.87","4","899","105","234.43","8","919","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2024","1","3.41","<1","17","13","24.05","2","247","0","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2024","2","10","1","48","49","121","18","622","N/A","N/A","N/A","N/A"
