"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","1","8","3","1","1","3","2","0","1","0","0","1","0","21"
"Department of Justice","Agency Overall","2024","5792","1937","1066","688","538","432","360","360","328","292","1234","898","6598","20523"
"American Battle Monuments Commission","Agency Overall","2024","0","2","0","1","0","0","0","0","0","0","0","0","0","3"
"Federal Energy Regulatory Commission","Agency Overall","2024","1","2","0","1","1","0","2","1","2","1","2","6","11","30"
"Office of Special Counsel","Agency Overall","2024","3","3","1","1","1","0","0","0","0","0","3","0","0","12"
"Commission of Fine Arts","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2024","4","5","2","3","2","1","1","3","1","0","0","1","1","24"
"Office of Science and Technology Policy","Agency Overall","2024","0","22","8","10","13","13","2","15","8","1","6","0","15","113"
"Federal Open Market Committee","Agency Overall","2024","0","3","1","6","1","1","0","0","8","3","4","0","0","27"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2024","5","9","5","12","3","1","1","1","1","0","0","0","0","38"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","1","2","0","0","0","0","0","0","0","2","0","0","0","5"
"Office of the National Cyber Director","Agency Overall","2024","0","0","17","2","64","0","0","50","0","0","6","0","0","139"
"Department of Health and Human Services","Agency Overall","2024","18247","2562","1298","806","606","524","431","384","349","303","908","499","1898","28815"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2024","127","58","37","32","22","17","16","12","14","12","47","23","74","491"
"Consumer Financial Protection Bureau","Agency Overall","2024","55","64","23","12","8","7","6","8","2","2","4","3","6","200"
"Federal Labor Relations Authority","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2024","1","0","0","0","0","0","0","0","0","0","0","1","3","5"
"Federal Communications Commission","Agency Overall","2024","194","79","44","22","13","21","5","4","9","2","12","3","11","419"
"Federal Deposit Insurance Corporation","Agency Overall","2024","35","43","26","26","16","19","10","10","13","3","6","5","1","213"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2024","9","43","3","1","0","1","0","0","0","0","0","0","0","57"
"National Science Foundation","Agency Overall","2024","4","16","11","16","7","4","5","2","4","2","7","2","174","254"
"Millennium Challenge Corporation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2024","0","13","7","7","0","1","1","2","0","0","0","0","0","31"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2024","0","0","1","0","1","2","0","0","0","0","0","0","0","4"
"Court Services and Offender Supervision Agency","Agency Overall","2024","251","0","0","0","0","0","0","0","0","0","0","0","0","251"
"Nuclear Regulatory Commission","Agency Overall","2024","119","7","4","4","2","3","3","0","1","2","1","1","15","162"
"Federal Reserve System","Agency Overall","2024","63","82","39","37","25","16","9","13","6","16","18","3","4","331"
"National Labor Relations Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2024","474","27","13","17","11","9","10","8","7","5","13","16","69","679"
"Department of Transportation","Agency Overall","2024","494","528","201","113","83","66","48","53","50","41","121","262","674","2734"
"Social Security Advisory Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","2","2"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2024","7796","4890","1594","894","644","579","435","346","266","242","1090","644","3232","22652"
"Federal Mediation and Conciliation Service","Agency Overall","2024","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Advisory Council on Historic Preservation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2024","1402","1365","535","315","202","140","105","88","98","89","249","93","96","4777"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2024","93","36","23","14","5","7","2","2","0","0","2","3","3","190"
"Administrative Conference of the United States","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2024","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"Office of the Director of National Intelligence","Agency Overall","2024","69","19","9","9","5","9","1","2","5","3","7","7","36","181"
"Federal Trade Commission","Agency Overall","2024","322","102","48","23","10","5","4","8","3","4","9","1","1","540"
"Department of Commerce","Agency Overall","2024","67","77","75","32","20","14","10","7","12","4","37","29","83","467"
"Department of Housing and Urban Development","Agency Overall","2024","1785","347","132","64","44","38","28","28","19","15","46","21","101","2668"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","1310","117","10","2","0","0","0","0","0","0","0","0","0","1439"
"United States Access Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2024","2184","609","332","239","211","157","115","90","68","55","188","76","431","4755"
"Department of Homeland Security","Agency Overall","2024","141172","242016","43257","32002","31952","10386","12221","11546","9792","10038","29586","5526","2499","581993"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","4","6","1","1","5","1","0","1","2","1","1","0","0","23"
"United States International Trade Commission","Agency Overall","2024","0","60","12","4","1","0","0","0","0","0","1","4","1","83"
"Environmental Protection Agency","Agency Overall","2024","305","301","207","172","85","73","45","42","25","24","100","62","147","1588"
"Marine Mammal Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2024","3414","648","256","183","136","75","63","59","50","44","135","84","157","5304"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2024","21","9","9","5","3","1","1","1","1","0","0","2","11","64"
"Occupational Safety and Health Review Commission","Agency Overall","2024","7","14","4","2","0","0","0","0","0","0","0","0","0","27"
"Tennessee Valley Authority","Agency Overall","2024","0","17","17","10","7","8","6","3","0","1","12","3","5","89"
"Farm Credit Administration","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2024","16","3","3","1","2","0","0","1","0","0","5","1","47","79"
"Office of Personnel Management","Agency Overall","2024","11","9","4","2","2","2","5","2","3","2","1","1","11","55"
"National Endowment for the Humanities","Agency Overall","2024","0","5","2","6","2","2","1","2","0","0","3","0","0","23"
"Legal Services Corporation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2024","0","0","0","0","0","0","0","1","1","0","0","0","0","2"
"Federal Election Commission","Agency Overall","2024","273","36","4","3","0","0","0","0","0","0","0","0","0","316"
"Denali Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2024","172","66","83","78","24","14","8","8","5","4","12","19","28","521"
"Presidio Trust","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2024","14","1795","739","2004","4365","1412","348","190","173","137","504","138","4748","16567"
"Federal Housing Finance Agency","Agency Overall","2024","2","3","2","2","5","0","1","2","0","0","3","0","2","22"
"Small Business Administration","Agency Overall","2024","2","5","2","0","3","0","0","1","0","1","11","0","0","25"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","18","8","3","2","2","1","0","0","0","0","1","0","0","35"
"Office of Government Ethics","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","1","4","7","7","9","3","1","2","1","2","4","0","0","41"
"National Transportation Safety Board","Agency Overall","2024","42","13","11","4","3","5","3","1","4","4","18","12","15","135"
"Department of Veterans Affairs","Agency Overall","2024","11114","474","198","153","206","3664","2339","331","32","19","54","42","94","18720"
"United States Institute of Peace","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","3","0","0","3"
"National Mediation Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","10","8","3","2","4","2","2","1","1","2","21","23","34","113"
"National Archives and Records Administration","Agency Overall","2024","124","47","26","11","11","9","15","7","3","9","18","47","2641","2968"
"Department of Education","Agency Overall","2024","1134","283","114","79","59","73","42","43","33","32","119","97","385","2493"
"National Endowment for the Arts","Agency Overall","2024","7","13","0","0","0","0","0","0","0","0","0","0","0","20"
"National Council on Disability","Agency Overall","2024","0","0","1","0","0","0","0","2","0","0","1","0","0","4"
"National Aeronautics and Space Administration","Agency Overall","2024","430","98","42","18","14","3","8","4","2","4","4","1","1","629"
"Export-Import Bank of the U.S.","Agency Overall","2024","5","10","7","2","5","9","6","0","2","2","6","3","2","59"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2024","71","8","35","4","4","14","3","2","4","1","2","1","46","195"
"National Capital Planning Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2024","59","145","111","63","106","81","88","44","31","28","55","23","202","1036"
"Merit Systems Protection Board","Agency Overall","2024","7","3","4","6","2","6","4","5","4","1","3","5","9","59"
"Council on Environmental Quality","Agency Overall","2024","15","0","0","4","1","2","2","0","1","0","0","0","3","28"
