"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2024","198","67","49","21","18","21","8","14","3","8","43","14","134","598"
"American Battle Monuments Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2024","3","0","0","1","0","1","0","0","0","0","0","0","0","5"
"Commission of Fine Arts","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"Federal Open Market Committee","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the National Cyber Director","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2024","28","14","5","4","2","2","2","0","1","2","0","2","18","80"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2024","3","2","1","1","0","0","0","0","0","0","1","0","1","9"
"Consumer Financial Protection Bureau","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","4","4"
"Federal Communications Commission","Agency Overall","2024","8","4","2","3","1","0","0","0","1","0","1","1","1","22"
"Federal Deposit Insurance Corporation","Agency Overall","2024","0","8","1","1","0","6","1","0","1","0","1","1","0","20"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2024","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"National Science Foundation","Agency Overall","2024","0","0","0","1","0","0","0","0","0","0","0","1","1","3"
"Millennium Challenge Corporation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2024","2","2","0","2","0","0","0","1","0","0","4","1","0","12"
"National Labor Relations Board","Agency Overall","2024","267","10","1","1","0","0","0","0","0","0","0","0","0","279"
"U.S. Agency for International Development","Agency Overall","2024","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"Department of Transportation","Agency Overall","2024","7","0","2","2","0","1","0","0","0","0","2","0","4","18"
"Social Security Advisory Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2024","299","65","34","18","16","14","17","9","4","5","16","8","27","532"
"Federal Mediation and Conciliation Service","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2024","0","0","0","0","1","0","0","0","0","0","1","0","0","2"
"Federal Trade Commission","Agency Overall","2024","21","1","0","0","0","0","0","0","0","0","0","0","0","22"
"Department of Commerce","Agency Overall","2024","4","2","1","0","1","1","1","1","1","0","2","2","6","22"
"Department of Housing and Urban Development","Agency Overall","2024","20","9","1","1","0","0","1","1","0","0","0","0","0","33"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2024","10","7","2","7","1","1","0","0","0","0","0","0","6","34"
"Department of Homeland Security","Agency Overall","2024","61","38","9","2","3","9","4","9","6","2","33","2","3","181"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2024","3","3","2","1","1","1","0","0","1","0","1","0","1","14"
"Marine Mammal Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2024","51","10","5","0","1","1","3","0","0","0","0","0","2","73"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2024","1","2","0","0","0","0","0","0","0","0","0","0","1","4"
"Occupational Safety and Health Review Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2024","21","2","2","0","0","0","0","0","0","0","0","1","2","28"
"Office of Personnel Management","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
