"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","38","3","3","1","0","0","1","1","0","1","1","1","0","50"
"Department of Justice","Agency Overall","2024","60217","12691","4272","2698","2371","1936","1682","1310","1312","1240","5126","3397","4899","103151"
"American Battle Monuments Commission","Agency Overall","2024","28","1","0","0","0","0","0","0","0","0","0","0","0","29"
"Federal Energy Regulatory Commission","Agency Overall","2024","60","32","11","3","2","2","2","1","1","0","7","3","2","126"
"Office of Special Counsel","Agency Overall","2024","52","34","24","11","2","1","0","5","0","1","0","0","0","130"
"Commission of Fine Arts","Agency Overall","2024","77","5","0","0","0","0","0","0","0","0","0","0","0","82"
"United States Copyright Office","Agency Overall","2024","27","11","0","1","0","1","0","1","0","0","0","0","0","41"
"Office of Science and Technology Policy","Agency Overall","2024","56","1","0","0","0","0","0","0","0","0","0","0","0","57"
"Federal Open Market Committee","Agency Overall","2024","27","0","0","0","0","0","0","0","0","0","0","0","0","27"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","2","1","1","4","4","7","0","0","0","0","1","0","0","20"
"U.S. Commission on Civil Rights","Agency Overall","2024","14","0","0","0","0","2","2","1","0","1","0","0","0","20"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","51","4","0","0","0","0","0","0","1","0","0","0","0","56"
"Office of the National Cyber Director","Agency Overall","2024","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Department of Health and Human Services","Agency Overall","2024","11994","1167","399","162","115","88","51","42","25","29","118","53","146","14389"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","51","0","0","0","0","0","1","0","0","0","0","0","0","52"
"Surface Transportation Board","Agency Overall","2024","95","4","0","0","0","0","0","0","0","0","0","0","0","99"
"Department of Energy","Agency Overall","2024","1704","375","177","125","40","42","23","9","12","15","41","12","13","2588"
"Consumer Financial Protection Bureau","Agency Overall","2024","489","37","14","8","2","1","3","2","0","0","0","0","0","556"
"Federal Labor Relations Authority","Agency Overall","2024","103","38","5","7","3","2","4","1","3","2","3","7","12","190"
