"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2024","17","0","94","1","63","447","116","0","427","87","265","52","0","0"
"American Battle Monuments Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2024","0","0","2","2","1","1","0","0","0","0","0","1","0","0"
"Office of Special Counsel","Agency Overall","2024","0","0","0","0","5","5","0","0","5","0","0","0","0","0"
"Commission of Fine Arts","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2024","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the National Cyber Director","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2024","0","0","0","8","12","20","1","0","3","0","1","0","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2024","1","0","0","1","4","5","1","0","3","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2024","0","0","0","1","0","3","2","0","0","0","1","0","1","0"
"Federal Labor Relations Authority","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2024","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2024","0","0","2","0","2","3","0","0","2","0","1","0","2","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2024","0","1","0","1","2","1","0","0","0","0","0","0","1","0"
