"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2024","217","0","3","11","133","56","0","50","33","0","894"
"American Battle Monuments Commission","Agency Overall","2024","0","0","0","0","6","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2024","1","0","0","0","0","0","0","0","0","0","0"
"Commission of Fine Arts","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","9","0","0","0","0","0","0","0","0","0","0"
"Office of the National Cyber Director","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2024","13","1","67","14","2","11","6","26","31","13","76"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2024","13","0","0","3","0","0","5","0","0","5","22"
"Consumer Financial Protection Bureau","Agency Overall","2024","2","0","2","0","0","1","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2024","1","0","0","0","0","0","0","0","0","1","0"
"Federal Communications Commission","Agency Overall","2024","0","1","3","0","1","0","0","0","0","0","11"
"Federal Deposit Insurance Corporation","Agency Overall","2024","0","0","0","0","0","0","1","1","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2024","0","0","1","0","0","0","0","2","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2024","1","0","0","0","0","0","0","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2024","0","0","0","0","0","0","0","0","0","1","0"
"Nuclear Regulatory Commission","Agency Overall","2024","1","0","3","0","0","0","0","0","0","0","1"
"Federal Reserve System","Agency Overall","2024","5","5","0","0","0","26","1","2","0","4","3"
"National Labor Relations Board","Agency Overall","2024","0","0","9","0","0","0","0","0","0","0","2"
"U.S. Agency for International Development","Agency Overall","2024","5","0","0","1","0","0","0","0","0","2","0"
"Department of Transportation","Agency Overall","2024","4","2","18","2","0","4","2","6","2","1","36"
"Social Security Advisory Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2024","74","2","29","1","4","96","1","7","9","26","20"
"Federal Mediation and Conciliation Service","Agency Overall","2024","0","0","1","0","0","0","0","0","0","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2024","0","0","11","0","0","2","0","1","0","0","22"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2024","0","0","7","0","0","370","0","27","0","0","0"
"Administrative Conference of the United States","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2024","3","0","0","0","0","0","0","0","2","1","0"
"Federal Trade Commission","Agency Overall","2024","1","2","3","0","2","0","0","0","1","0","0"
