"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","0","0","N/A","N/A","0"
"Department of Justice","Agency Overall","2024","496","4068","2","12.73","3922"
"American Battle Monuments Commission","Agency Overall","2024","0","0","N/A","N/A","0"
"Federal Energy Regulatory Commission","Agency Overall","2024","0","0","N/A","N/A","0"
"Office of Special Counsel","Agency Overall","2024","4","13","3","19.24","14"
"Commission of Fine Arts","Agency Overall","2024","0","0","N/A","N/A","0"
"United States Copyright Office","Agency Overall","2024","0","0","N/A","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2024","0","1","10","10","1"
"Federal Open Market Committee","Agency Overall","2024","0","0","N/A","N/A","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","0","0","N/A","N/A","0"
"U.S. Commission on Civil Rights","Agency Overall","2024","0","0","N/A","N/A","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","0","0","N/A","N/A","0"
"Office of the National Cyber Director","Agency Overall","2024","0","0","N/A","N/A","0"
"Department of Health and Human Services","Agency Overall","2024","75","972","3.36","17.52","952"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2024","0","0","N/A","N/A","0"
"Department of Energy","Agency Overall","2024","10","67","7.00","19.26","48"
"Consumer Financial Protection Bureau","Agency Overall","2024","0","19","1","2.16","18"
"Federal Labor Relations Authority","Agency Overall","2024","1","3","5","7","4"
"U.S. Election Assistance Commission","Agency Overall","2024","0","4","9","9","4"
"Federal Communications Commission","Agency Overall","2024","46","72","3","5.68","84"
"Federal Deposit Insurance Corporation","Agency Overall","2024","28","28","7.00","9.79","35"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","0","0","N/A","N/A","0"
"National Credit Union Administration","Agency Overall","2024","7","6","2","5","11"
"National Science Foundation","Agency Overall","2024","3","0","380","414.66","0"
"Millennium Challenge Corporation","Agency Overall","2024","0","0","N/A","N/A","0"
"Office of National Drug Control Policy","Agency Overall","2024","0","0","N/A","N/A","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","0","0","N/A","N/A","0"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","0","0","N/A","N/A","0"
"United States Trade and Development Agency","Agency Overall","2024","0","0","N/A","N/A","0"
"Selective Service System","Agency Overall","2024","0","0","N/A","N/A","0"
"Court Services and Offender Supervision Agency","Agency Overall","2024","0","31","1","1","31"
"Nuclear Regulatory Commission","Agency Overall","2024","2","9","1","1","11"
"Federal Reserve System","Agency Overall","2024","14","54","7","6","68"
"National Labor Relations Board","Agency Overall","2024","303","209","1","3","472"
"U.S. Agency for International Development","Agency Overall","2024","1","45","0","3.59","43"
"Department of Transportation","Agency Overall","2024","16","301","15","84.95","139"
"Social Security Advisory Board","Agency Overall","2024","0","0","N/A","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2024","0","0","N/A","N/A","0"
"Federal Maritime Commission","Agency Overall","2024","0","0","N/A","N/A","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","0","0","N/A","N/A","0"
