"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Justice","Agency Overall","2024","2024-03-01","147","2024-02-29","148","2024-02-23","152","2024-02-23","152","2024-01-31","168","2024-01-24","173","2024-01-19","176","2024-01-16","179","2024-01-16","179","2024-01-09","183"
"American Battle Monuments Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Energy Regulatory Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-01-03","216"
"Office of Special Counsel","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Commission of Fine Arts","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Copyright Office","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Open Market Committee","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Commission on Civil Rights","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2023-05-20","339","2023-05-15","344","2022-05-25","583"
"Office of the National Cyber Director","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Health and Human Services","Agency Overall","2024","2016-09-22","2004","2016-09-07","2015","2016-08-05","2037","2016-06-28","2064","2016-04-01","2125","2015-12-10","2202","2015-07-13","2306","2015-06-23","2319","2015-04-10","2370","2014-11-14","2470"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Surface Transportation Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Energy","Agency Overall","2024","2019-10-15","1276","2019-09-26","1288","2019-08-08","1322","2018-11-20","1499","2015-04-20","2390","2014-12-08","2478","2013-11-15","2740","2013-10-16","2761","2013-10-10","2764","2012-07-03","3082"
"Consumer Financial Protection Bureau","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Labor Relations Authority","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Election Assistance Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Communications Commission","Agency Overall","2024","2023-12-29","190","2023-12-29","190","2022-12-27","449","2022-12-23","451","2022-07-14","567","2021-06-24","842","2020-08-03","1075","2020-07-10","1091","2020-07-10","1091","2018-10-01","1555"
"Federal Deposit Insurance Corporation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-19","8"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Credit Union Administration","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Science Foundation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-04-01","127","2023-10-18","237","2023-10-18","237"
"Millennium Challenge Corporation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of National Drug Control Policy","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Trade and Development Agency","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Selective Service System","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Court Services and Offender Supervision Agency","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Nuclear Regulatory Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","2024-08-23","25","2024-08-22","26","2023-04-13","367","2018-09-12","1509"
"Federal Reserve System","Agency Overall","2024","2024-09-30","0","2024-08-30","20","2024-08-27","23","2024-08-21","27","2024-08-06","38","2024-08-06","38","2024-08-06","38","2024-07-03","61","2024-06-03","82","2023-04-10","370"
"National Labor Relations Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-16","11"
"U.S. Agency for International Development","Agency Overall","2024","2027-07-15","54","2024-02-09","161","2024-01-22","175","2023-12-18","196","2023-12-18","197","2023-10-04","247","2023-07-03","312","2023-05-24","338","2023-04-14","366","2023-01-31","418"
"Department of Transportation","Agency Overall","2024","2016-09-07","2021","2016-09-01","2024","2016-08-31","2025","2016-08-31","2025","2016-08-30","2026","2016-08-30","2026","2016-08-29","2027","2016-08-29","2027","2016-08-26","2028","2016-08-24","2030"
"Social Security Advisory Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Maritime Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Defense","Agency Overall","2024","2015-12-02","2210","2015-12-01","2211","2015-11-09","2225","2015-11-04","2228","2015-08-26","2276","2015-08-20","2280","2015-08-14","2284","2014-11-17","2471","2012-05-02","3107","2011-10-04","3251"
"Federal Mediation and Conciliation Service","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Advisory Council on Historic Preservation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Financial Institutions Examination Council","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Securities and Exchange Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-30","1","2024-09-30","1","2024-09-30","1","2024-09-30","1"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Equal Employment Opportunity Commission","Agency Overall","2024","2024-09-20","7","2024-09-19","8","2024-09-16","11","2024-09-12","13","2024-09-11","14","2024-09-09","16","2024-09-05","18","2024-09-04","19","2024-08-26","26","2024-08-22","28"
"Administrative Conference of the United States","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Appraisal Subcommittee","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the Director of National Intelligence","Agency Overall","2024","2022-06-06","576","2022-01-21","670","2021-11-08","718","2021-10-22","728","2021-10-20","730","2021-10-14","734","2021-09-27","746","2021-02-08","906","2019-01-15","1415","2014-10-15","2464"
"Federal Trade Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-09","15","2024-09-06","16"
"Department of Commerce","Agency Overall","2024","2016-11-21","1970","2016-11-17","1972","2016-10-17","1994","2015-10-15","2246","2015-02-24","2409","2014-08-15","2538","2014-02-11","2668","2013-04-26","2866","2013-01-28","2929","2012-11-02","2985"
"Department of Housing and Urban Development","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-27","1","2024-09-27","1","2024-09-23","5"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-23","5"
"United States Access Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of the Treasury","Agency Overall","2024","2020-06-02","1083","2020-06-02","1083","2020-06-02","1083","2019-12-16","1198","2019-09-12","1262","2019-06-20","1320","2018-10-04","1496","2018-07-25","1546","2018-07-09","1558","2017-12-20","1695"
"Department of Homeland Security","Agency Overall","2024","2019-05-20","1342","2019-05-09","1349","2019-04-24","1360","2019-03-12","1391","2019-02-22","1403","2018-11-09","1479","2018-10-23","1485","2018-10-18","1488","2018-08-08","1537","2018-07-05","1561"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Trade Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","2024-09-24","4","2024-09-18","8","2024-09-11","14","2024-09-09","15","2024-09-04","18","2024-09-03","19"
"Environmental Protection Agency","Agency Overall","2024","N/A","0","N/A","0","N/A","0","2024-09-05","3","2024-09-24","4","2024-09-24","4","2024-09-17","9","2024-09-13","11","2024-09-12","12","2024-09-05","17"
"Marine Mammal Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Labor","Agency Overall","2024","2018-09-19","1512","2018-08-30","1525","2018-08-22","1531","2018-08-03","1544","2018-06-27","1570","2018-06-26","1571","2018-06-26","1571","2018-06-25","1572","2018-06-25","1572","2018-06-01","1588"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Postal Service","Agency Overall","2024","2024-09-26","2","2024-09-26","2","2024-09-23","5","2024-09-23","5","2024-09-23","5","2024-09-23","5","2024-09-18","8","2024-09-06","16","2024-09-05","17","2024-09-03","19"
"Occupational Safety and Health Review Commission","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Tennessee Valley Authority","Agency Overall","2024","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
