field_agency_abbr,field_date_prepared,field_foia_annual_report_yr,field_footnotes_iv,field_footnotes_ix,field_footnotes_va,field_footnotes_vb1,field_footnotes_vb2,field_footnotes_vb3,field_footnotes_via,field_footnotes_vib,field_footnotes_vic1,field_footnotes_vic2,field_footnotes_vic3,field_footnotes_vic4,field_footnotes_vic5,field_footnotes_viia,field_footnotes_viib,field_footnotes_viic1,field_footnotes_viic2,field_footnotes_viic3,field_footnotes_viid,field_footnotes_viie,field_footnotes_viiia,field_footnotes_viiib,field_footnotes_x,field_footnotes_xia,field_footnotes_xib,field_footnotes_xiia,field_footnotes_xiib,field_footnotes_xiic,field_footnotes_xiid1,field_footnotes_xiid2,field_footnotes_xiie1,field_footnotes_xiie2,field_overall_ix_eq_full_emp,field_overall_ix_full_emp,field_overall_ix_lit_costs,field_overall_ix_proc_costs,field_overall_ix_total_costs,field_overall_ix_total_staff,field_overall_req_pend_end_yr,field_overall_req_pend_start_yr,field_overall_req_processed_yr,field_overall_req_received_yr,field_overall_vb1_dup_request,field_overall_vb1_fee_related_re,field_overall_vb1_full_denials_e,field_overall_vb1_full_grants,field_overall_vb1_imp_req_oth_re,field_overall_vb1_no_rec,field_overall_vb1_not_agency_rec,field_overall_vb1_oth,field_overall_vb1_part_grants_de,field_overall_vb1_rec_not_desc,field_overall_vb1_rec_ref_to_an_,field_overall_vb1_req_withdrawn,field_overall_vb1_total,field_overall_vb2_total,field_overall_vb3_ex_1,field_overall_vb3_ex_2,field_overall_vb3_ex_3,field_overall_vb3_ex_4,field_overall_vb3_ex_5,field_overall_vb3_ex_6,field_overall_vb3_ex_7_a,field_overall_vb3_ex_7_b,field_overall_vb3_ex_7_c,field_overall_vb3_ex_7_d,field_overall_vb3_ex_7_e,field_overall_vb3_ex_7_f,field_overall_vb3_ex_8,field_overall_vb3_ex_9,field_overall_via_app_pend_endyr,field_overall_via_app_pend_start,field_overall_via_app_proc_yr,field_overall_via_app_recd_yr,field_overall_vib_affirm_on_app,field_overall_vib_closed_oth_app,field_overall_vib_comp_on_app,field_overall_vib_part_on_app,field_overall_vib_total,field_overall_vic1_ex_1,field_overall_vic1_ex_2,field_overall_vic1_ex_3,field_overall_vic1_ex_4,field_overall_vic1_ex_5,field_overall_vic1_ex_6,field_overall_vic1_ex_7_a,field_overall_vic1_ex_7_b,field_overall_vic1_ex_7_c,field_overall_vic1_ex_7_d,field_overall_vic1_ex_7_e,field_overall_vic1_ex_7_f,field_overall_vic1_ex_8,field_overall_vic1_ex_9,field_overall_vic2_app_denial_ex,field_overall_vic2_dup_req,field_overall_vic2_fee_rel_reas,field_overall_vic2_imp_req_oth,field_overall_vic2_no_rec,field_overall_vic2_not_agency_re,field_overall_vic2_oth,field_overall_vic2_rec_not_desc,field_overall_vic2_rec_refer_ini,field_overall_vic2_req_in_lit,field_overall_vic2_req_withdrawn,field_overall_vic3_total,field_overall_vic4_avg_num_days,field_overall_vic4_high_num_days,field_overall_vic4_low_num_days,field_overall_vic4_med_num_days,field_overall_vic5_date_1,field_overall_vic5_date_10,field_overall_vic5_date_2,field_overall_vic5_date_3,field_overall_vic5_date_4,field_overall_vic5_date_5,field_overall_vic5_date_6,field_overall_vic5_date_7,field_overall_vic5_date_8,field_overall_vic5_date_9,field_overall_vic5_num_day_1,field_overall_vic5_num_day_10,field_overall_vic5_num_day_2,field_overall_vic5_num_day_3,field_overall_vic5_num_day_4,field_overall_vic5_num_day_5,field_overall_vic5_num_day_6,field_overall_vic5_num_day_7,field_overall_vic5_num_day_8,field_overall_vic5_num_day_9,field_overall_viia_comp_avg,field_overall_viia_comp_high,field_overall_viia_comp_low,field_overall_viia_comp_med,field_overall_viia_exp_avg,field_overall_viia_exp_high,field_overall_viia_exp_low,field_overall_viia_exp_med,field_overall_viia_sim_avg,field_overall_viia_sim_high,field_overall_viia_sim_low,field_overall_viia_sim_med,field_overall_viib_comp_avg,field_overall_viib_comp_high,field_overall_viib_comp_low,field_overall_viib_comp_med,field_overall_viib_exp_avg,field_overall_viib_exp_high,field_overall_viib_exp_low,field_overall_viib_exp_med,field_overall_viib_sim_avg,field_overall_viib_sim_high,field_overall_viib_sim_low,field_overall_viib_sim_med,field_overall_viic1_101_120_days,field_overall_viic1_121_140_days,field_overall_viic1_141_160_days,field_overall_viic1_161_180_days,field_overall_viic1_181_200_days,field_overall_viic1_1_20_days,field_overall_viic1_201_300_days,field_overall_viic1_21_40_days,field_overall_viic1_301_400_days,field_overall_viic1_400_up_days,field_overall_viic1_41_60_days,field_overall_viic1_61_80_days,field_overall_viic1_81_100_days,field_overall_viic1_total,field_overall_viic2_101_120_days,field_overall_viic2_121_140_days,field_overall_viic2_141_160_days,field_overall_viic2_161_180_days,field_overall_viic2_181_200_days,field_overall_viic2_1_20_days,field_overall_viic2_201_300_days,field_overall_viic2_21_40_days,field_overall_viic2_301_400_days,field_overall_viic2_400_up_days,field_overall_viic2_41_60_days,field_overall_viic2_61_80_days,field_overall_viic2_81_100_days,field_overall_viic2_total,field_overall_viic3_101_120_days,field_overall_viic3_121_140_days,field_overall_viic3_141_160_days,field_overall_viic3_161_180_days,field_overall_viic3_181_200_days,field_overall_viic3_1_20_days,field_overall_viic3_201_300_days,field_overall_viic3_21_40_days,field_overall_viic3_301_400_days,field_overall_viic3_400_up_days,field_overall_viic3_41_60_days,field_overall_viic3_61_80_days,field_overall_viic3_81_100_days,field_overall_viic3_total,field_overall_viid_comp_avg,field_overall_viid_comp_med,field_overall_viid_comp_pend,field_overall_viid_exp_avg,field_overall_viid_exp_med,field_overall_viid_exp_pend,field_overall_viid_sim_avg,field_overall_viid_sim_med,field_overall_viid_sim_pend,field_overall_viie_date_1,field_overall_viie_date_10,field_overall_viie_date_2,field_overall_viie_date_3,field_overall_viie_date_4,field_overall_viie_date_5,field_overall_viie_date_6,field_overall_viie_date_7,field_overall_viie_date_8,field_overall_viie_date_9,field_overall_viie_num_days_1,field_overall_viie_num_days_10,field_overall_viie_num_days_2,field_overall_viie_num_days_3,field_overall_viie_num_days_4,field_overall_viie_num_days_5,field_overall_viie_num_days_6,field_overall_viie_num_days_7,field_overall_viie_num_days_8,field_overall_viie_num_days_9,field_overall_viiia_avg_days_jud,field_overall_viiia_med_days_jud,field_overall_viiia_num_denied,field_overall_viiia_num_grant,field_overall_viiia_num_jud_w10,field_overall_viiib_avg_days_jud,field_overall_viiib_med_days_jud,field_overall_viiib_num_denied,field_overall_viiib_num_grant,field_overall_x_perc_costs,field_overall_x_total_fees,field_overall_xia_sub_used,field_overall_xib_rec_post_foia,field_overall_xib_rec_post_prog,field_overall_xiia_back_app_end_,field_overall_xiia_back_req_end_,field_overall_xiib_con_during_yr,field_overall_xiib_pend_end_yr,field_overall_xiib_pend_start_yr,field_overall_xiib_proc_start_yr,field_overall_xiic_date_1,field_overall_xiic_date_10,field_overall_xiic_date_2,field_overall_xiic_date_3,field_overall_xiic_date_4,field_overall_xiic_date_5,field_overall_xiic_date_6,field_overall_xiic_date_7,field_overall_xiic_date_8,field_overall_xiic_date_9,field_overall_xiic_num_days_1,field_overall_xiic_num_days_10,field_overall_xiic_num_days_2,field_overall_xiic_num_days_3,field_overall_xiic_num_days_4,field_overall_xiic_num_days_5,field_overall_xiic_num_days_6,field_overall_xiic_num_days_7,field_overall_xiic_num_days_8,field_overall_xiic_num_days_9,field_overall_xiid1_proc_cur_yr,field_overall_xiid1_proc_last_yr,field_overall_xiid1_received_cur,field_overall_xiid1_received_las,field_overall_xiid2_back_cur_yr,field_overall_xiid2_back_prev_yr,field_overall_xiie1_proc_cur_yr,field_overall_xiie1_proc_last_yr,field_overall_xiie1_received_cur,field_overall_xiie1_received_las,field_overall_xiie2_back_cur_yr,field_overall_xiie2_back_prev_yr,id,status,title
DOS,2019-11-18,2019,[],,"[{'value': ""After reviewing its database, The Department of State adjusted OIG's number of requests pending of the start of the Fiscal Year."", 'format': None, 'processed': '<p>After reviewing its database, The Department of State adjusted OIG&#039;s number of requests pending of the start of the Fiscal Year.</p>\n'}]",,,,"After reviewing its database, The Department of State's adjusted the number of administrative appeals pending at the start of the Fiscal Year.",,,,,,,,,,,,,,,,,,,,"After reviewing its database, State adjusted the number of consults pending at the start of the Fiscal Year. ",,,,,,66.68,141,1133455.00,26626139.69,27759594.69,207.68,13368,11324,6545,8589,41,3,962,138,1240,938,393,0,2459,212,23,136,6545,0,36,2,3934,7,29,195,7,0,109,4,17,2,0,0,242,387,380,235,264,2,53,61,380,8,0,202,0,2,20,0,0,8,1,30,1,0,0,0,0,0,1,33,5,8,0,0,1,15,8,336.18,1870,2,211,2012-05-25,2013-09-14,2012-10-09,2013-04-18,2013-04-03,2013-04-11,2013-06-10,2013-05-16,2013-07-09,2013-07-17,1843,1532,1750,1636,1630,1624,1600,1599,1563,1557,171.04,3136.06,5,73.75,479.41,591,427,454.91,74.51,2073,1,30.50,234.97,3136,5,64,484.25,591,427,459.50,80.42,1267,1,27,4,2,1,1,1,62,2,69,2,11,37,16,7,215,254,96,59,59,84,11,238,33,69,438,64,237,543,2185,0,0,0,0,0,0,0,0,0,4,0,0,0,4,626.46,478.04,10667,718.73,663.30,153,605.42,352.44,321,2006-10-10,2007-04-25,2006-11-26,2006-11-27,2007-01-11,2007-02-07,2007-03-12,2007-03-28,2007-04-16,2007-04-23,3254,3119,3222,3222,3191,3173,3151,3139,3126,3121,12.13,6,562,48,420,9,3,201,537,0.0000,984.00,0,14307,0,223,11106,239,224,369,384,2014-03-26,2014-09-17,2014-04-28,2014-05-14,2014-05-20,2014-06-16,2014-07-09,2014-08-22,2014-09-10,2014-09-17,1385,1263,1362,1350,1346,1328,1312,1280,1268,1263,6545,10928,8589,8448,11106,10400,380,228,235,200,223,367,059f52c2-94e3-4463-a806-19b63a11934b,True,DOS - 2019 - Annual FOIA Report
IMLS,2019-11-14,2019,[],,[],N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0,0.00,36655.00,36655.00,0.25,6,15,53,44,0,0,1,30,1,2,6,3,10,0,0,0,53,3,0,0,0,0,3,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,196.66,413,42,172,N/A,N/A,N/A,N/A,7.89,26,1,7,196.66,413,42,164,N/A,N/A,N/A,N/A,8.25,21,1,7,0,0,0,0,0,44,0,2,0,0,0,0,0,46,0,0,0,2,0,0,0,0,1,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485.6,587,5,N/A,N/A,0,9,9,1,2016-02-19,N/A,2016-09-26,2018-03-15,2019-03-28,2019-07-29,2019-09-18,N/A,N/A,N/A,911,0,755,587,130,45,9,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0.0000,0.00,0,7,1843,0,5,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,53,26,44,33,5,8,0,0,0,0,0,0,62696b67-edf4-4bed-b9c2-636ae00141ec,True,IMLS - 2019 - Annual FOIA Report
NRPC,2019-10-21,2019,[],,"[{'value': 'After reviewing its database, Amtrak adjusted the number of requests pending as of the start of the Fiscal Year. ', 'format': None, 'processed': '<p>After reviewing its database, Amtrak adjusted the number of requests pending as of the start of the Fiscal Year.</p>\n'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,0.00,100000.00,100000.00,1.00,153,131,191,213,7,15,11,52,5,26,0,0,42,2,0,31,191,0,0,0,0,7,11,28,4,0,11,0,2,0,0,0,9,3,1,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,74,74,2017-03-08,N/A,2017-08-02,2018-04-19,2018-12-21,2019-02-11,2019-02-11,2019-02-12,2019-06-18,2019-07-30,634,0,544,364,194,161,161,160,72,43,115.41,719,<1,29,652,652,652,652,457.2,832,7,601,108.89,661,<1,33.5,652,652,652,652,8,8,8,8,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,13,7,7,3,77,5,22,7,20,9,6,7,186,0,0,0,0,0,0,0,0,0,1,0,0,0,1,283,224,134,412,412.5,2,661,788.5,4,2015-08-24,2016-09-14,2015-09-01,2016-03-04,2016-03-15,2016-04-07,2016-05-18,2016-06-28,2016-08-31,2016-09-01,1050,773,1044,911,904,887,858,829,783,782,N/A,N/A,0,0,0,N/A,N/A,0,0,0.0800,78.00,0,5,0,7,83,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,191,215,213,206,83,64,1,5,7,2,7,2,b390c776-a1d6-4a25-bd49-bec664b0894e,True,NRPC - 2019 - Annual FOIA Report
FDIC,2019-10-21,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,6,10156.00,259474.00,269630.00,11.00,18,14,341,345,10,14,24,66,36,20,59,0,46,45,3,18,341,0,0,5,2,25,18,53,2,0,5,0,7,0,17,0,0,0,12,12,6,3,1,2,12,0,1,0,4,5,3,1,0,1,0,0,0,4,0,0,0,0,1,0,0,0,1,0,1,0,0,16.5,28,<1,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,28.27,109,7,23,7.67,17,2,7,10.55,98,<1,7,29.62,109,11,24,9.33,17,2,9,12.94,98,1,9,0,0,0,0,0,169,0,16,0,0,2,1,1,189,1,0,0,0,0,27,0,26,0,0,4,3,1,62,0,0,0,0,0,9,0,0,0,0,0,0,0,9,n/a,n/a,0,N/A,N/A,0,16,12,15,2019-05-08,2019-09-18,2019-08-22,2019-08-27,2019-09-09,2019-09-10,2019-09-10,2019-09-11,2019-09-12,2019-09-16,100,8,26,23,15,14,14,13,12,10,7.35,5.5,8,12,18,2,2,1,1,3.4500,8952.48,0,26,645,0,1,9,1,0,8,2019-08-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,0,0,0,0,0,0,0,0,0,341,431,345,423,1,1,12,10,12,10,0,0,d242d700-3c29-440c-918e-51138ed1e551,True,FDIC - 2019 - Annual FOIA Report
DOT,2018-10-19,2019,"[{'value': 'N/A', 'format': None, 'processed': '<p>N/A</p>\n'}]","FHWA - costs include $439,120.00 for maintenance of FOIA database used by several DOT components.","[{'value': 'After reviewing its database, DOT adjusted the number of requests pending as of the start of the Fiscal Year for the following components: FAA, FTA, PHMSA, NHTSA, and SLSDC.', 'format': None, 'processed': '<p>After reviewing its database, DOT adjusted the number of requests pending as of the start of the Fiscal Year for the following components: FAA, FTA, PHMSA, NHTSA, and SLSDC.</p>\n'}]",,,,"After reviewing its database, FAA adjusted the number of appeals pending as of the start of the Fiscal Year.",,,,,,,,,,,,,,,,,,,,"After reviewing its database, FAA adjusted the number of consults pending as of the start of the Fiscal Year.",,,,,,234.98,39,215419.00,12846762.38,13062181.38,273.98,6313,4363,14621,16571,58,55,155,7549,53,2570,26,6,3386,13,18,732,14621,6,0,15,320,227,517,2722,108,1,1043,204,22,27,0,0,101,102,92,91,24,20,24,24,92,0,0,0,11,14,19,5,0,3,0,2,1,0,0,1,1,2,0,7,0,0,0,0,0,16,0,229.19,1066,<1,42.5,2015-07-17,2016-08-23,2015-09-18,2015-09-21,2015-11-19,2015-11-19,2015-11-24,2016-05-25,2016-08-17,2016-08-23,1055,778,1011,1010,969,969,966,840,782,778,210.83,1839,<1,70,14.5,93,<1,12.5,18.52,1646,<1,15,74.02,1839,<1,40,10.33,93,<1,12,19.58,1646,<1,16,101,44,32,22,20,9173,60,1427,8,43,743,364,168,12205,73,63,58,46,50,441,264,439,79,306,242,175,102,2338,0,0,0,0,0,8,0,3,0,0,0,0,1,12,572.22,536,2167,646.67,664,3,454,347,4133,2011-09-06,2013-03-28,2011-12-21,2012-01-24,2012-06-18,2012-06-21,2012-10-12,2013-01-08,2013-03-04,2013-03-13,2023,1634,1950,1929,1827,1824,1746,1689,1652,1645,1.19,0,343,10,336,4.46,N/A,127,63,2.5200,323391.43,0,40,3768,100,3578,60,20,9,49,2014-09-08,2019-03-06,2014-09-08,2015-07-22,2015-10-27,2016-09-15,2016-12-07,2017-11-07,2018-01-23,2019-02-20,1270,145,1270,1052,985,762,706,475,423,155,14621,16082,16571,15049,3578,2635,92,90,91,77,100,98,8682f07d-f88f-48d7-b154-8523fc0390c2,True,DOT - 2019 - Annual FOIA Report
HHS,2019-11-18,2019,"[{'value': '* Certain information related to Quality Improvement Organizations are discussed in 42 CFR §480.139, which states the provisions of the Social Security Act §1160(a)(42 U.S.C. §1320C-9), which precludes QIOs as a Federal Agency, therefore, not subject to the FOIA.          ', 'format': None, 'processed': '<p>* Certain information related to Quality Improvement Organizations are discussed in 42 CFR §480.139, which states the provisions of the Social Security Act §1160(a)(42 U.S.C. §1320C-9), which precludes QIOs as a Federal Agency, therefore, not subject to the FOIA.</p>\n'}]",,"[{'value': 'After reviewing its database, HHS updated the number of requests pending at the start of the Fiscal Year for the following components: ACL, CMS, FDA, IHS, NIH, SAMSHA.', 'format': None, 'processed': '<p>After reviewing its database, HHS updated the number of requests pending at the start of the Fiscal Year for the following components: ACL, CMS, FDA, IHS, NIH, SAMSHA.</p>\n'}]",,,,,,,,,,,,,,,,,,,,,,,,"After reviewing its database, HHS adjusted the number of consults pending as of the start of the Fiscal Year for the following components: OS, CDC, NIH. ",,,,,,99.75,244,1392072.34,21208131.45,22600203.79,343.75,9253,7712,33817,35358,653,746,5773,12409,1252,3314,770,34,4238,477,815,3336,33817,34,0,13,297,1296,445,8199,523,30,1675,78,26,61,0,3,539,427,130,242,20,92,13,5,130,0,0,0,5,3,18,2,0,5,0,1,0,0,0,0,5,0,7,9,0,1,1,25,12,32,1,365.54,1681,<1,242.85,2011-06-21,2014-03-10,2011-12-09,2012-04-12,2012-04-23,2012-04-17,2013-04-04,2013-08-19,2014-02-11,2014-03-10,2077,1451,2037,1948,1941,1871,1629,1534,1470,1451,101.96,1880,<1,39.43,57.88,1424,10,85.51,18.54,1434,<1,8.47,103.29,1880,<1,33.77,62.16,1169,10,79.93,16.68,1194,<1,9.64,528,450,589,731,438,5982,787,1110,40,43,680,639,503,12520,530,500,490,609,414,10010,1154,1985,457,1052,971,724,597,19493,3,1,2,0,0,1,6,6,1,16,2,1,0,39,232.73,168.79,7707,271.97,275.88,62,238.98,247.31,1365,2012-08-22,2013-12-27,2013-01-08,2013-06-25,2013-07-11,2013-06-25,2013-11-26,2013-07-11,2013-07-25,2013-12-20,1748,1502,1654,1635,1623,1537,1525,1522,1516,1507,7.2,5.57,661,31,644,4.11,3.35,386,36,2.7800,590493.49,0,878,38160,514,7764,115,79,64,100,2015-10-06,2017-04-21,2016-03-01,2016-05-05,2016-09-07,2016-12-16,2017-02-27,2017-03-27,2017-04-05,2017-04-21,999,613,901,854,768,699,652,632,625,613,33817,33876,35358,35445,7764,6304,130,170,242,367,514,421,99092b3c-acc7-4141-a393-09793da362a2,True,HHS - 2019 - Annual FOIA Report
DHS,2019-11-12,2019,[],,"[{'value': 'Due to a tracking error, ICE did not account for 59,123 referrals that it received from USCIS during the reporting period.  These referrals will be accounted for in next year’s Annual FOIA Report.  ICE has taken steps to ensure accurate tracking of referrals going forward.', 'format': None, 'processed': '<p>Due to a tracking error, ICE did not account for 59,123 referrals that it received from USCIS during the reporting period.  These referrals will be accounted for in next year’s Annual FOIA Report.  ICE has taken steps to ensure accurate tracking of referrals going forward.</p>\n'}, {'value': 'After reviewing its database, ICE, USSS, USCIS, USCG, TSA, I&A, FEMA, CBP, and S&T adjusted the number of requests pending as of the start of the Fiscal Year.', 'format': None, 'processed': '<p>After reviewing its database, ICE, USSS, USCIS, USCG, TSA, I&amp;A, FEMA, CBP, and S&amp;T adjusted the number of requests pending as of the start of the Fiscal Year.</p>\n'}, {'value': 'CISA and PRIV: OBIM requests were incorporated with PRIV starting in FY 2019.', 'format': None, 'processed': '<p>CISA and PRIV: OBIM requests were incorporated with PRIV starting in FY 2019.</p>\n'}]",,,,"After reviewing its database, CBP, ICE, OIG, and USSS adjusted the number of appeals pending as of the start of the Fiscal Year.",,,,,,,,,,,,,,,,,,,"In September 2019 USCIS began claiming unusual circumstances for Track 2 and Track 3 requests.  This change removed 2,338 cases from the backlog at the end of FY2019.","After reviewing its database, FLETC, PRIV, ICE, OIG, USSS, USCIS, USCG, and CBP adjusted the number of consults pending as of the start of the Fiscal Year.",,,,,,161.64,446,3814896.44,68183700.62,71998597.06,607.64,58680,88233,429798,400245,25861,16,6143,32233,23436,74166,4070,1036,255653,3481,2005,1698,429798,1036,18,378,48743,493,44035,193263,604,107,226859,406,236033,326,8,2,587,588,6241,6240,1806,1027,1548,1860,6241,1,6,230,7,274,786,16,1,856,3,841,1,0,0,7,239,1,499,81,101,24,1,13,16,45,24,28,1134,1,11,2016-07-11,2018-04-06,2017-02-13,2017-07-10,2017-09-13,2017-09-15,2017-10-02,2017-11-08,2018-01-10,2018-02-06,807,371,660,558,511,510,499,472,431,414,66,1820,<1,43,61,676,1,20,33,858,<1,17,31,1820,<1,15,52,692,1,18,28,858,<1,9,6803,2724,1289,792,1153,102711,1224,24850,196,8782,9388,8847,9105,177864,5066,3685,4380,1844,2895,42688,1277,43712,608,36384,22688,21231,37546,224004,12,7,6,3,7,312,18,132,15,19,30,13,16,590,264,219,9611,261,136,178,20,2,18912,2012-04-03,2013-09-12,2012-05-21,2012-05-29,2012-06-26,2012-12-12,2013-03-07,2013-04-30,2013-08-07,2013-09-05,1841,1503,1832,1827,1778,1691,1635,1597,1528,1506,41,18,3075,635,1468,9,1,819,1140,0.0200,16729.34,0,166605,0,304,31454,674,414,352,612,2013-06-20,2015-12-14,2014-08-14,2015-01-13,2015-01-13,2015-04-03,2015-05-28,2015-08-20,2015-09-17,2015-10-27,1561,953,1286,1182,1182,1126,1088,1029,1010,985,429798,374945,400245,395751,31454,53971,6241,5327,6240,5386,304,237,42e57186-bb97-4c4e-8ef9-0d5d87ae67ba,True,DHS - 2019 - Annual FOIA Report
TVA,2019-10-18,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,0.00,215523.77,215523.77,1.25,16,26,197,187,0,6,14,67,0,11,3,0,88,0,0,8,197,0,0,3,7,29,47,44,1,0,10,2,4,12,0,0,0,0,7,7,6,0,0,1,7,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19.5,20,19,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,76,457,20,34,4,4,4,4,9.75,20,1,8,61,457,21,35,4,4,4,4,10,20,1,9,0,0,0,0,0,120,0,0,0,0,0,0,0,120,3,1,0,1,1,0,4,43,1,1,14,6,1,76,0,0,0,0,0,1,0,0,0,0,0,0,0,1,83,56,7,N/A,N/A,0,8,6,9,2018-12-21,2019-09-05,2019-05-17,2019-05-29,2019-06-07,2019-07-15,2019-08-09,2019-08-21,2019-09-03,2019-09-04,196,18,95,88,81,56,37,29,20,19,1,1,0,1,1,N/A,N/A,0,0,0.5400,1162.45,0,0,0,0,7,4,0,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,197,212,187,222,7,11,7,8,7,7,0,0,f962f560-373a-47ad-9cee-c6016d4cbdb7,True,TVA - 2019 - Annual FOIA Report
NASA,2019-11-05,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,7,0.00,1434219.11,1434219.11,11.75,76,64,800,812,26,41,38,124,34,121,16,60,190,92,29,29,800,60,1,12,36,90,27,152,6,1,27,1,24,2,0,0,11,0,16,27,5,10,1,0,16,0,1,1,0,1,2,0,0,2,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,25.8,78,<1,23,2019-02-08,2019-09-19,2019-07-10,2019-07-10,2019-08-08,2019-08-16,2019-09-04,2019-09-05,2019-09-09,2019-09-11,162,7,57,57,36,30,18,17,15,13,38.31,240,<1,25,N/A,N/A,N/A,N/A,13.19,146,<1,7,50.83,240,<1,37,N/A,N/A,N/A,N/A,16.28,146,<1,10,0,0,1,0,0,211,0,35,0,0,9,5,2,263,17,6,7,3,2,174,3,109,0,0,47,30,13,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,20,38,N/A,N/A,0,17.57,11,23,2019-04-29,2019-07-01,2019-05-01,2019-04-29,2019-05-15,2019-05-16,2019-05-16,2019-06-13,2019-06-18,2019-06-28,107,63,105,98,95,94,94,75,68,64,4.19,6,21,0,19,21.15,12,30,4,0.0174,24942.48,0,0,0,5,28,19,3,0,16,2019-09-20,N/A,2019-09-24,2019-09-27,N/A,N/A,N/A,N/A,N/A,N/A,6,0,4,1,0,0,0,0,0,0,800,880,812,853,28,27,16,15,27,9,5,0,d8e449ea-a4eb-4ffc-b61a-96abbb55f230,True,NASA - 2019 - Annual FOIA Report
OGE,2019-11-14,2019,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40,0,52041.51,222010.42,274051.93,2.40,32,61,125,96,0,0,7,20,0,27,0,0,57,6,2,6,125,0,0,0,24,16,43,61,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,37,37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,13.4,594,11,305.5,170,632,1,48,N/A,N/A,N/A,N/A,288,594,13,337,237.64,632,1,194,2,3,1,0,2,37,10,9,4,21,7,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,6,3,1,0,1,17,N/A,N/A,0,255.6,364,5,147.2,127,27,2018-01-04,2018-11-30,2018-03-12,2018-04-18,2018-07-02,2018-07-02,2018-10-22,2018-11-02,2018-11-02,2018-11-26,434,208,391,364,312,312,235,226,226,212,4.5,4,2,5,5,N/A,N/A,0,0,0.0000,0.00,0,75,60,0,28,1,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,125,206,96,126,28,60,1,5,1,5,0,0,69f7499d-530e-4feb-abf1-fbf74fc4f09d,True,OGE - 2019 - Annual FOIA Report
