Agency,FY2018,FY2024,Change,Pct_Change
Administrative Conference of the United States,0.5,1.0,0.5,100.0
AmeriCorps,10.5,6.0,-4.5,-42.857142857142854
Appraisal Subcommittee,6.0,11.0,5.0,83.33333333333334
Armed Forces Retirement Home,2.0,19.0,17.0,850.0
Central Intelligence Agency,12.0,10.0,-2.0,-16.666666666666664
Chemical Safety and Hazard Investigation Board,10.0,264.5,254.5,2545.0
Commission of Fine Arts,8.5,15.0,6.5,76.47058823529412
Committee for Purchase from People Who Are Blind or Severely Disabled,17.5,88.0,70.5,402.85714285714283
Commodity Futures Trading Commission,16.0,1.0,-15.0,-93.75
Consumer Financial Protection Bureau,12.0,1.0,-11.0,-91.66666666666666
Consumer Product Safety Commission,30.0,8.0,-22.0,-73.33333333333333
Council on Environmental Quality,16.0,28.0,12.0,75.0
Court Services and Offender Supervision Agency,21.0,1.0,-20.0,-95.23809523809523
Defense Nuclear Facilities Safety Board,19.0,61.0,42.0,221.0526315789474
Denali Commission,14.0,3.0,-11.0,-78.57142857142857
Department of Agriculture,1.0,1.0,0.0,0.0
Department of Commerce,16.0,7.0,-9.0,-56.25
Department of Defense,15.39,6.0,-9.39,-61.01364522417154
Department of Education,9.0,8.0,-1.0,-11.11111111111111
Department of Energy,20.0,10.0,-10.0,-50.0
Department of Health and Human Services,8.59,10.0,1.4100000000000001,16.41443538998836
Department of Homeland Security,16.0,3.0,-13.0,-81.25
Department of Housing and Urban Development,16.0,6.0,-10.0,-62.5
Department of Justice,24.0,13.0,-11.0,-45.83333333333333
Department of Labor,7.0,7.0,0.0,0.0
Department of Transportation,15.0,25.0,10.0,66.66666666666666
Department of Veterans Affairs,10.0,2.0,-8.0,-80.0
Department of the Interior,2.0,20.0,18.0,900.0
Department of the Treasury,4.0,2.0,-2.0,-50.0
Environmental Protection Agency,16.0,10.0,-6.0,-37.5
Equal Employment Opportunity Commission,20.0,8.0,-12.0,-60.0
Export-Import Bank of the U.S.,14.0,8.0,-6.0,-42.857142857142854
Farm Credit Administration,5.0,16.0,11.0,220.00000000000003
Farm Credit System Insurance Corporation,1.0,15.0,14.0,1400.0
Federal Communications Commission,14.0,13.0,-1.0,-7.142857142857142
Federal Deposit Insurance Corporation,8.0,19.0,11.0,137.5
Federal Energy Regulatory Commission,30.0,25.0,-5.0,-16.666666666666664
Federal Financial Institutions Examination Council,4.0,26.0,22.0,550.0
Federal Housing Finance Agency,13.0,13.0,0.0,0.0
Federal Labor Relations Authority,5.0,366.5,361.5,7230.0
Federal Maritime Commission,3.5,41.0,37.5,1071.4285714285713
Federal Mediation and Conciliation Service,23.0,10.0,-13.0,-56.52173913043478
Federal Mine Safety and Health Review Commission,1.0,1.0,0.0,0.0
Federal Open Market Committee,5.0,8.0,3.0,60.0
Federal Reserve System,5.0,2.0,-3.0,-60.0
Federal Retirement Thrift Investment Board,25.0,37.0,12.0,48.0
Federal Trade Commission,11.0,3.0,-8.0,-72.72727272727273
General Services Administration,14.0,28.0,14.0,100.0
Gulf Coast Ecosystem Restoration Council,2.0,1.0,-1.0,-50.0
Harry S. Truman Scholarship Foundation,9.0,6.0,-3.0,-33.33333333333333
Institute of Museum and Library Services,20.0,3.0,-17.0,-85.0
Inter-American Foundation,9.0,69.0,60.0,666.6666666666667
James Madison Memorial Fellowship Foundation,20.0,58.0,38.0,190.0
Marine Mammal Commission,58.5,22.0,-36.5,-62.39316239316239
Merit Systems Protection Board,3.0,3.0,0.0,0.0
Millennium Challenge Corporation,34.0,40.5,6.5,19.11764705882353
Morris K. Udall and Stewart L. Udall Foundation,10.0,6.0,-4.0,-40.0
National Aeronautics and Space Administration,5.0,2.0,-3.0,-60.0
National Archives and Records Administration,5.0,3.0,-2.0,-40.0
National Capital Planning Commission,2.0,10.0,8.0,400.0
National Council on Disability,3.0,19.0,16.0,533.3333333333333
National Credit Union Administration,6.5,7.0,0.5,7.6923076923076925
National Endowment for the Arts,10.0,20.0,10.0,100.0
National Endowment for the Humanities,16.0,9.5,-6.5,-40.625
National Indian Gaming Commission,7.0,2.0,-5.0,-71.42857142857143
National Labor Relations Board,24.0,8.0,-16.0,-66.66666666666666
National Mediation Board,4.0,6.0,2.0,50.0
National Railroad Passenger Corporation,8.0,7.05,-0.9500000000000002,-11.875000000000002
National Science Foundation,9.0,112.75,103.75,1152.7777777777778
National Transportation Safety Board,58.0,11.0,-47.0,-81.03448275862068
Neighborhood Reinvestment Corporation,28.0,45.0,17.0,60.71428571428571
Nuclear Regulatory Commission,9.0,8.0,-1.0,-11.11111111111111
Occupational Safety and Health Review Commission,5.0,1.0,-4.0,-80.0
Office of Government Ethics,142.0,9.0,-133.0,-93.66197183098592
Office of Management and Budget,35.0,112.0,77.0,220.00000000000003
Office of National Drug Control Policy,10.0,13.0,3.0,30.0
Office of Navajo and Hopi Indian Relocation,1.0,2.0,1.0,100.0
Office of Personnel Management,1.0,10.0,9.0,900.0
Office of Science and Technology Policy,20.0,19.0,-1.0,-5.0
Office of Special Counsel,21.5,23.0,1.5,6.976744186046512
Office of the Director of National Intelligence,20.0,15.5,-4.5,-22.5
