Agency,Component,Fiscal Year,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
Commodity Futures Trading Commission,Agency Overall,2018,27,134,121,40
Merit Systems Protection Board,Agency Overall,2018,78,173,200,51
United States African Development Foundation,Agency Overall,2018,2,6,8,0
Securities and Exchange Commission,Agency Overall,2018,559,14229,14248,540
Department of Homeland Security,Agency Overall,2018,62968,395751,374945,83774
National Indian Gaming Commission,Agency Overall,2018,20,44,52,12
Office of Government Ethics,Agency Overall,2018,141,126,206,61
"National Commission on Military, National, and Public Service",Agency Overall,2018,0,3,1,2
National Mediation Board,Agency Overall,2018,0,17,17,0
U.S. Agency for Global Media,Agency Overall,2018,6,60,59,7
Office of Navajo and Hopi Indian Relocation,Agency Overall,2018,0,57,57,0
Consumer Financial Protection Bureau,Agency Overall,2018,23,788,642,169
Department of Agriculture,Agency Overall,2018,5559,36547,35482,6624
Court Services and Offender Supervision Agency,Agency Overall,2018,93,437,517,13
General Services Administration,Agency Overall,2018,296,1324,1239,381
Federal Mediation and Conciliation Service,Agency Overall,2018,26,58,57,27
Harry S. Truman Scholarship Foundation,Agency Overall,2018,0,2,2,0
Peace Corps,Agency Overall,2018,42,137,123,56
Department of Education,Agency Overall,2018,848,3041,2858,1031
Office of National Drug Control Policy,Agency Overall,2018,17,112,106,23
Department of Housing and Urban Development,Agency Overall,2018,916,2383,2245,1054
Armed Forces Retirement Home,Agency Overall,2018,0,6,6,0
National Capital Planning Commission,Agency Overall,2018,0,8,8,0
Federal Communications Commission,Agency Overall,2018,87,820,848,59
Legal Services Corporation,Agency Overall,2018,0,27,23,4
United States International Trade Commission,Agency Overall,2018,3,34,37,0
Inter-American Foundation,Agency Overall,2018,1,11,11,1
Federal Retirement Thrift Investment Board,Agency Overall,2018,11,39,44,6
Department of the Treasury,Agency Overall,2018,1728,12535,12098,2165
Office of Personnel Management,Agency Overall,2018,213,10668,10575,306
Gulf Coast Ecosystem Restoration Council,Agency Overall,2018,0,7,7,0
James Madison Memorial Fellowship Foundation,Agency Overall,2018,0,5,5,0
Office of the Director of National Intelligence,Agency Overall,2018,402,498,349,551
United States Trade and Development Agency,Agency Overall,2018,25,22,19,28
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2018,28,40,14,54
Appraisal Subcommittee,Agency Overall,2018,0,4,4,0
