fiscal_year,gross_collections_thousands,operating_costs_thousands,cost_per_100_collected,us_population_thousands,per_capita_tax,fte_positions
1995,1375731836,7389692,0.54,267456,5144.0,112024
1996,1486546674,7240221,0.49,270581,5494.0,106642
1997,1623272071,7163541,0.44,273852,5928.0,101703
1998,1769408739,7564661,0.43,277003,6388.0,98037
1999,1904151888,8269387,0.43,280203,6796.0,98730
2000,2096916925,8258423,0.39,283201,7404.0,97074
2001,2128831182,8771510,0.41,286098,7441.0,97707
2002,2016627269,9063471,0.45,288870,6981.0,99181
2003,1952929045,9401407,0.48,291574,6698.0,98819
2004,2018502103,9756344,0.48,294230,6860.0,97597
2005,2268895122,10397837,0.46,296972,7640.0,94282
2006,2518680230,10605845,0.42,299835,8400.0,91717
2007,2691537557,10764736,0.4,302807,8889.0,92017
2008,2745035410,11307223,0.41,305554,8984.0,90647
2009,2345337177,11708604,0.5,308189,7610.0,92577
2010,2345055978,12353344,0.53,310391,7555.0,94711
2011,2414952112,12358877,0.51,312616,7725.0,94709
2012,2524320134,12059409,0.48,314806,8019.0,90280
2013,2855059420,11597560,0.41,316953,9008.0,86974
2014,3064301358,11591007,0.38,319263,9598.0,84133
2015,3302677258,11395839,0.35,321540,10271.0,79890
2016,3333449083,11707422,0.35,323784,10295.0,77924
2017,3416714139,11526389,0.34,325742,10489.0,76832
2018,3465466627,11746448,0.34,327407,10585.0,73519
2019,3564583961,11825241,0.33,328981,10835.0,73554
2020,3493067956,12316275,0.35,332009,10521.00381616161,75773
2021,4111569512,13701027,0.33,332883,12351.0,78661
2022,4901514194,14267359,0.29,335039,14630.0,79070
2023,4694335168,16148200,0.34,337947,13891.0,82990
2024,5100489478,18198029,0.36,340916,14961.0,90516
