fiscal_year,fte_positions,gross_collections_thousands,collections_per_fte
1995,112024,1375731836,12280688.388202528
1996,106642,1486546674,13939598.600926464
1997,101703,1623272071,15960906.472768748
1998,98037,1769408739,18048377.031120904
1999,98730,1904151888,19286456.882406563
2000,97074,2096916925,21601220.975750457
2001,97707,2128831182,21787908.563357793
2002,99181,2016627269,20332798.308143698
2003,98819,1952929045,19762687.79283336
2004,97597,2018502103,20682009.723659538
2005,94282,2268895122,24064987.187374048
2006,91717,2518680230,27461432.776911587
2007,92017,2691537557,29250438.0386233
2008,90647,2745035410,30282694.51829625
2009,92577,2345337177,25333907.741663694
2010,94711,2345055978,24760122.667905524
2011,94709,2414952112,25498654.953594696
2012,90280,2524320134,27961011.674789544
2013,86974,2855059420,32826585.186377537
2014,84133,3064301358,36422109.73102112
2015,79890,3302677258,41340308.64939292
2016,77924,3333449083,42778208.03603511
2017,76832,3416714139,44469936.21147439
2018,73519,3465466627,47137020.72933527
2019,73554,3564583961,48462136.1312777
2020,75773,3493067956,46099111.2401515
2021,78661,4111569512,52269479.30995029
2022,79070,4901514194,61989556.013658784
2023,82990,4694335168,56565070.104831904
2024,90516,5100489478,56349037.49613328
