company,year,rd_expense,rd_field,capex,capex_field,revenue,revenue_field,depreciation,depreciation_field
Microsoft,2008,8164000000,ResearchAndDevelopmentExpense,3182000000,PaymentsToAcquirePropertyPlantAndEquipment,,,1400000000,Depreciation
Microsoft,2009,9010000000,ResearchAndDevelopmentExpense,3119000000,PaymentsToAcquirePropertyPlantAndEquipment,,,1700000000,Depreciation
Microsoft,2010,8714000000,ResearchAndDevelopmentExpense,1977000000,PaymentsToAcquirePropertyPlantAndEquipment,,,1800000000,Depreciation
Microsoft,2011,9043000000,ResearchAndDevelopmentExpense,2355000000,PaymentsToAcquirePropertyPlantAndEquipment,,,2000000000,Depreciation
Microsoft,2012,9811000000,ResearchAndDevelopmentExpense,2305000000,PaymentsToAcquirePropertyPlantAndEquipment,,,2200000000,Depreciation
Microsoft,2013,10411000000,ResearchAndDevelopmentExpense,4257000000,PaymentsToAcquirePropertyPlantAndEquipment,,,2600000000,Depreciation
Microsoft,2014,11381000000,ResearchAndDevelopmentExpense,5485000000,PaymentsToAcquirePropertyPlantAndEquipment,,,3400000000,Depreciation
Microsoft,2015,12046000000,ResearchAndDevelopmentExpense,5944000000,PaymentsToAcquirePropertyPlantAndEquipment,,,4100000000,Depreciation
Microsoft,2016,11988000000,ResearchAndDevelopmentExpense,8343000000,PaymentsToAcquirePropertyPlantAndEquipment,91154000000,RevenueFromContractWithCustomerExcludingAssessedTax,4900000000,Depreciation
Microsoft,2017,13037000000,ResearchAndDevelopmentExpense,8129000000,PaymentsToAcquirePropertyPlantAndEquipment,96571000000,RevenueFromContractWithCustomerExcludingAssessedTax,6100000000,Depreciation
Microsoft,2018,14726000000,ResearchAndDevelopmentExpense,11632000000,PaymentsToAcquirePropertyPlantAndEquipment,110360000000,RevenueFromContractWithCustomerExcludingAssessedTax,7700000000,Depreciation
Microsoft,2019,16876000000,ResearchAndDevelopmentExpense,13925000000,PaymentsToAcquirePropertyPlantAndEquipment,125843000000,RevenueFromContractWithCustomerExcludingAssessedTax,9700000000,Depreciation
Microsoft,2020,19269000000,ResearchAndDevelopmentExpense,15441000000,PaymentsToAcquirePropertyPlantAndEquipment,143015000000,RevenueFromContractWithCustomerExcludingAssessedTax,10700000000,Depreciation
Microsoft,2021,20716000000,ResearchAndDevelopmentExpense,20622000000,PaymentsToAcquirePropertyPlantAndEquipment,168088000000,RevenueFromContractWithCustomerExcludingAssessedTax,9300000000,Depreciation
Microsoft,2022,24512000000,ResearchAndDevelopmentExpense,23886000000,PaymentsToAcquirePropertyPlantAndEquipment,198270000000,RevenueFromContractWithCustomerExcludingAssessedTax,12600000000,Depreciation
Microsoft,2023,27195000000,ResearchAndDevelopmentExpense,28107000000,PaymentsToAcquirePropertyPlantAndEquipment,211915000000,RevenueFromContractWithCustomerExcludingAssessedTax,11000000000,Depreciation
Microsoft,2024,29510000000,ResearchAndDevelopmentExpense,44477000000,PaymentsToAcquirePropertyPlantAndEquipment,245122000000,RevenueFromContractWithCustomerExcludingAssessedTax,15200000000,Depreciation
Microsoft,2025,32488000000,ResearchAndDevelopmentExpense,64551000000,PaymentsToAcquirePropertyPlantAndEquipment,281724000000,RevenueFromContractWithCustomerExcludingAssessedTax,22000000000,Depreciation
Alphabet,2013,7137000000,ResearchAndDevelopmentExpense,7358000000,PaymentsToAcquirePropertyPlantAndEquipment,,,,
Alphabet,2014,9832000000,ResearchAndDevelopmentExpense,10959000000,PaymentsToAcquirePropertyPlantAndEquipment,,,,
Alphabet,2015,12282000000,ResearchAndDevelopmentExpense,9915000000,PaymentsToAcquirePropertyPlantAndEquipment,,,,
Alphabet,2016,13948000000,ResearchAndDevelopmentExpense,10212000000,PaymentsToAcquirePropertyPlantAndEquipment,90272000000,RevenueFromContractWithCustomerExcludingAssessedTax,,
Alphabet,2017,16625000000,ResearchAndDevelopmentExpense,13184000000,PaymentsToAcquirePropertyPlantAndEquipment,110855000000,RevenueFromContractWithCustomerExcludingAssessedTax,,
Alphabet,2018,21419000000,ResearchAndDevelopmentExpense,25139000000,PaymentsToAcquirePropertyPlantAndEquipment,136819000000,RevenueFromContractWithCustomerExcludingAssessedTax,,
Alphabet,2019,26018000000,ResearchAndDevelopmentExpense,23548000000,PaymentsToAcquirePropertyPlantAndEquipment,161857000000,RevenueFromContractWithCustomerExcludingAssessedTax,,
Alphabet,2020,27573000000,ResearchAndDevelopmentExpense,22281000000,PaymentsToAcquirePropertyPlantAndEquipment,182527000000,RevenueFromContractWithCustomerExcludingAssessedTax,,
Alphabet,2021,31562000000,ResearchAndDevelopmentExpense,24640000000,PaymentsToAcquirePropertyPlantAndEquipment,257637000000,RevenueFromContractWithCustomerExcludingAssessedTax,10273000000,Depreciation
Alphabet,2022,39500000000,ResearchAndDevelopmentExpense,31485000000,PaymentsToAcquirePropertyPlantAndEquipment,282836000000,RevenueFromContractWithCustomerExcludingAssessedTax,13475000000,Depreciation
Alphabet,2023,45427000000,ResearchAndDevelopmentExpense,32251000000,PaymentsToAcquirePropertyPlantAndEquipment,307394000000,RevenueFromContractWithCustomerExcludingAssessedTax,11946000000,Depreciation
Alphabet,2024,49326000000,ResearchAndDevelopmentExpense,52535000000,PaymentsToAcquirePropertyPlantAndEquipment,350018000000,RevenueFromContractWithCustomerExcludingAssessedTax,15311000000,Depreciation
Alphabet,2025,61087000000,ResearchAndDevelopmentExpense,91447000000,PaymentsToAcquirePropertyPlantAndEquipment,,,21136000000,Depreciation
Amazon,2007,,,224000000,PaymentsToAcquirePropertyPlantAndEquipment,,,246000000,DepreciationAndAmortization
Amazon,2008,,,333000000,PaymentsToAcquirePropertyPlantAndEquipment,,,287000000,DepreciationAndAmortization
Amazon,2009,,,373000000,PaymentsToAcquirePropertyPlantAndEquipment,,,378000000,DepreciationAndAmortization
Amazon,2010,,,979000000,PaymentsToAcquirePropertyPlantAndEquipment,,,568000000,DepreciationAndAmortization
Amazon,2011,,,1811000000,PaymentsToAcquirePropertyPlantAndEquipment,,,1083000000,DepreciationAndAmortization
Amazon,2012,,,3785000000,PaymentsToAcquirePropertyPlantAndEquipment,,,2159000000,DepreciationAndAmortization
Amazon,2013,,,3444000000,PaymentsToAcquirePropertyPlantAndEquipment,,,3253000000,DepreciationAndAmortization
Amazon,2014,,,4893000000,PaymentsToAcquirePropertyPlantAndEquipment,,,4746000000,DepreciationAndAmortization
Amazon,2015,,,4589000000,PaymentsToAcquirePropertyPlantAndEquipment,,,6281000000,DepreciationAndAmortization
Amazon,2016,,,6737000000,PaymentsToAcquirePropertyPlantAndEquipment,135987000000,RevenueFromContractWithCustomerExcludingAssessedTax,8116000000,DepreciationAndAmortization
Amazon,2017,,,,,177866000000,RevenueFromContractWithCustomerExcludingAssessedTax,,
Amazon,2018,,,,,232887000000,RevenueFromContractWithCustomerExcludingAssessedTax,,
Amazon,2019,,,,,280522000000,RevenueFromContractWithCustomerExcludingAssessedTax,,
Amazon,2020,,,,,386064000000,RevenueFromContractWithCustomerExcludingAssessedTax,,
Amazon,2021,,,,,469822000000,RevenueFromContractWithCustomerExcludingAssessedTax,,
Amazon,2022,,,,,513983000000,RevenueFromContractWithCustomerExcludingAssessedTax,,
Amazon,2023,,,,,574785000000,RevenueFromContractWithCustomerExcludingAssessedTax,,
Amazon,2024,,,,,637959000000,RevenueFromContractWithCustomerExcludingAssessedTax,,
Amazon,2025,,,,,716924000000,RevenueFromContractWithCustomerExcludingAssessedTax,,
Meta,2010,144000000,ResearchAndDevelopmentExpense,293000000,PaymentsToAcquirePropertyPlantAndEquipment,,,139000000,DepreciationDepletionAndAmortization
Meta,2011,388000000,ResearchAndDevelopmentExpense,606000000,PaymentsToAcquirePropertyPlantAndEquipment,,,323000000,DepreciationDepletionAndAmortization
Meta,2012,1399000000,ResearchAndDevelopmentExpense,1235000000,PaymentsToAcquirePropertyPlantAndEquipment,,,649000000,DepreciationDepletionAndAmortization
