year_month,count
2018-01,573
2018-02,466
2018-03,530
2018-04,521
2018-05,449
2018-06,410
2018-07,536
2018-08,487
2018-09,401
2018-10,453
2018-11,394
2018-12,413
2019-01,502
2019-02,503
2019-03,541
2019-04,467
2019-05,405
2019-06,358
2019-07,410
2019-08,356
2019-09,331
2019-10,420
2019-11,353
2019-12,291
2020-01,383
2020-02,345
2020-03,336
2020-04,316
2020-05,267
2020-06,201
2020-07,206
2020-08,182
2020-09,151
2020-10,198
2020-11,174
2020-12,170
2021-01,210
2021-02,220
2021-03,242
2021-04,206
2021-05,161
2021-06,145
2021-07,256
2021-08,249
2021-09,220
2021-10,286
2021-11,235
2021-12,222
2022-01,375
2022-02,398
2022-03,453
2022-04,438
2022-05,257
2022-06,263
2022-07,289
2022-08,391
2022-09,935
2022-10,1185
2022-11,461
2022-12,387
2023-01,434
2023-02,396
2023-03,372
2023-04,269
2023-05,279
2023-06,280
2023-07,400
2023-08,584
2023-09,1245
2023-10,1950
2023-11,1470
2023-12,1156
2024-01,1447
2024-02,1047
2024-03,1114
2024-04,868
2024-05,654
2024-06,579
2024-07,614
2024-08,606
2024-09,1094
2024-10,1027
2024-11,654
2024-12,1077
2025-01,1877
2025-02,1600
2025-03,3128
2025-04,1860
2025-05,1602
2025-06,1200
2025-07,1269
2025-08,1006
2025-09,1079
2025-10,1030
2025-11,872
2025-12,1302
2026-01,1718
2026-02,1223
2026-03,746
